,Codigo,Município,2021
159,291610,Itaparica,4
160,291620,Itapé,5
161,291630,Itapebi,27
162,291640,Itapetinga,217
163,291650,Itapicuru,12
164,291660,Itapitanga,3
165,291670,Itaquara,1
166,291680,Itarantim,4
167,291685,Itatim,9
168,291690,Itiruçu,60
169,291700,Itiúba,2
170,291710,Itororó,128
171,291720,Ituaçu,4
172,291730,Ituberá,6
173,291733,Iuiú,141
174,291735,Jaborandi,181
175,291740,Jacaraci,12
176,291750,Jacobina,1168
177,291760,Jaguaquara,272
178,291770,Jaguarari,4
179,291790,Jandaíra,4
180,291800,Jequié,332
181,291810,Jeremoabo,4
182,291830,Jitaúna,1
183,291835,João Dourado,43
184,291840,Juazeiro,145
185,291845,Jucuruçu,1
186,291850,Jussara,132
187,291855,Jussari,3
188,291870,Lafaiete Coutinho,1
189,291875,Lagoa Real,4
190,291880,Laje,1
191,291900,Lajedinho,1
192,291905,Lajedo do Tabocal,3
193,291915,Lapão,43
194,291920,Lauro de Freitas,59
195,291930,Lençóis,5
196,291950,Livramento de Nossa Senhora,17
197,291955,Luís Eduardo Magalhães,4329
198,291960,Macajuba,3
199,291970,Macarani,81
200,291980,Macaúbas,533
201,291992,Madre de Deus,13
202,291995,Maetinga,1
203,292000,Maiquinique,6
204,292010,Mairi,2
205,292020,Malhada,166
206,292030,Malhada de Pedras,4
207,292040,Manoel Vitorino,9
208,292045,Mansidão,256
209,292050,Maracás,32
210,292060,Maragogipe,11
211,292080,Marcionílio Souza,1
212,292100,Mata de São João,3
213,292105,Matina,196
214,292120,Miguel Calmon,82
215,292140,Mirangaba,10
216,292145,Mirante,5
217,292160,Morpará,16
218,292170,Morro do Chapéu,86
219,292180,Mortugaba,2
220,292200,Mucuri,254
221,292205,Mulungu do Morro,8
222,292210,Mundo Novo,1
223,292225,Muquém de São Francisco,325
224,292230,Muritiba,9
225,292240,Mutuípe,1
226,292265,Nordestina,11
227,292270,Nova Canaã,565
228,292273,Nova Fátima,3
229,292275,Nova Ibiá,3
230,292280,Nova Itarana,2
231,292290,Nova Soure,5
232,292300,Nova Viçosa,13
233,292303,Novo Horizonte,11
234,292305,Novo Triunfo,1
235,292320,Oliveira dos Brejinhos,135
236,292330,Ouriçangas,1
237,292335,Ourolândia,365
238,292340,Palmas de Monte Alto,46
239,292350,Palmeiras,1
240,292360,Paramirim,9
241,292370,Paratinga,164
242,292380,Paripiranga,1
243,292390,Pau Brasil,5
244,292400,Paulo Afonso,65
245,292405,Pé de Serra,4
246,292440,Pilão Arcado,5
247,292450,Pindaí,74
248,292460,Pindobaçu,2
249,292465,Pintadas,2
250,292470,Piripá,10
251,292490,Planaltino,2
252,292500,Planalto,13
253,292510,Poções,40
254,292520,Pojuca,333
255,292525,Ponto Novo,3
256,292530,Porto Seguro,105
257,292540,Potiraguá,6
258,292550,Prado,13
259,292560,Presidente Dutra,44
260,292570,Presidente Jânio Quadros,12
261,292575,Presidente Tancredo Neves,2
262,292580,Queimadas,2
263,292590,Quijingue,7
264,292595,Rafael Jambeiro,4
265,292600,Remanso,4
266,292610,Retirolândia,1
267,292620,Riachão das Neves,117
268,292630,Riachão do Jacuípe,16
269,292640,Riacho de Santana,353
270,292660,Ribeira do Pombal,26
271,292665,Ribeirão do Largo,4
272,292670,Rio de Contas,5
273,292680,Rio do Antônio,1
274,292690,Rio do Pires,115
275,292700,Rio Real,63
