,Município,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
179,292880 Santo Estêvão,0,0,1,0,0,0,0,0,0,0,0,0
180,292890 São Desidério,0,0,8,5,0,0,0,0,0,1,0,0
181,292895 São Domingos,0,0,2,1,0,0,0,0,0,0,0,0
182,292905 São Félix do Coribe,0,2,1,0,0,0,0,0,0,0,0,0
183,292920 São Francisco do Conde,91,63,59,23,23,12,16,19,19,10,3,5
184,292930 São Gonçalo dos Campos,1,0,0,2,4,0,0,0,0,0,0,0
185,292937 São José do Jacuípe,0,0,0,0,0,0,0,1,0,0,0,0
186,292950 São Sebastião do Passé,1,0,0,1,0,0,0,0,1,0,0,0
187,292990 Seabra,0,0,0,0,1,0,1,0,0,0,0,0
188,293000 Sebastião Laranjeiras,0,1,0,0,0,0,0,0,0,0,0,0
189,293010 Senhor do Bonfim,2,3,2,2,2,0,1,3,0,0,0,1
190,293020 Sento Sé,0,0,0,0,0,1,0,0,0,0,1,0
191,293040 Serra Preta,0,0,0,0,0,0,0,0,0,0,0,1
192,293050 Serrinha,1,0,0,0,0,0,0,1,0,0,0,0
193,293060 Serrolândia,1,0,0,0,0,0,0,0,0,0,0,0
194,293070 Simões Filho,4,8,23,41,13,15,14,3,2,1,3,1
195,293077 Sobradinho,0,0,0,0,0,0,0,0,0,0,1,0
196,293100 Tanhaçu,0,0,0,0,0,0,0,0,0,0,1,0
197,293105 Tanque Novo,0,0,0,0,0,0,0,0,0,0,0,1
198,293110 Tanquinho,1,0,0,2,0,2,0,0,0,0,0,0
199,293120 Taperoá,1,0,0,0,0,0,0,0,0,0,0,0
200,293130 Tapiramutá,40,7,196,101,40,27,6,0,1,1,1,2
201,293135 Teixeira de Freitas,734,582,451,148,84,37,47,30,21,8,28,25
202,293160 Teolândia,0,0,0,0,1,0,0,0,0,0,0,0
203,293180 Tremedal,0,0,1,0,0,0,0,0,0,0,1,0
204,293190 Tucano,0,3,0,1,1,0,0,0,0,0,0,0
205,293200 Uauá,0,1,0,0,0,0,0,0,0,0,0,0
206,293220 Ubaitaba,0,0,0,0,2,0,0,0,0,0,0,0
207,293240 Uibaí,0,0,0,0,0,0,0,0,0,0,1,0
208,293250 Una,1,0,0,1,0,8,3,2,1,0,0,1
209,293270 Uruçuca,7,13,26,32,11,3,0,0,0,0,0,0
210,293290 Valença,1,0,0,0,0,0,0,0,0,0,0,0
211,293300 Valente,0,1,1,3,2,0,3,0,5,0,0,0
212,293315 Várzea Nova,0,0,1,0,0,3,0,0,0,0,0,0
213,293320 Vera Cruz,4,2,1,0,1,1,0,0,1,0,0,0
214,293325 Vereda,2,0,0,0,0,0,0,0,0,0,0,0
215,293330 Vitória da Conquista,5,7,5,1,2,2,1,1,2,2,0,0
216,293345 Wanderley,0,0,1,2,0,0,1,0,0,0,0,0
217,293350 Wenceslau Guimarães,0,0,1,0,0,0,0,0,0,0,0,0
218,293360 Xique-Xique,0,0,0,0,0,0,1,0,0,0,0,0
