,Codigo,Município,2016,2017,2018,2019,2020,2021
216,291870,Lafaiete Coutinho,-,-,-,-,1,-
217,291880,Laje,10,-,-,-,1,-
218,291890,Lajedão,1,1,-,-,-,1
219,291900,Lajedinho,4,-,-,-,2,-
220,291905,Lajedo do Tabocal,2,-,-,-,6,2
221,291910,Lamarão,1,-,1,16,18,-
222,291915,Lapão,11,-,-,1,63,6
223,291920,Lauro de Freitas,94,25,7,107,523,8
224,291930,Lençóis,40,-,-,-,126,-
225,291940,Licínio de Almeida,-,-,-,-,1,-
226,291950,Livramento de Nossa Senhora,2,-,1,-,5,-
227,291955,Luís Eduardo Magalhães,18,14,7,4,1,637
228,291960,Macajuba,10,3,-,1,23,3
229,291970,Macarani,28,1,-,-,-,176
230,291980,Macaúbas,8,11,4,11,109,1569
231,291990,Macururé,2,-,-,-,10,1
232,291992,Madre de Deus,5,-,-,431,11,1
233,291995,Maetinga,-,-,-,-,2,-
234,292000,Maiquinique,9,1,-,-,5,-
235,292010,Mairi,118,66,2,7,9,-
236,292020,Malhada,-,-,3,-,1,-
237,292030,Malhada de Pedras,2,-,-,-,4,-
238,292040,Manoel Vitorino,8,2,1,1,559,95
239,292045,Mansidão,-,-,-,-,-,14
240,292050,Maracás,11,1,4,2,16,2
241,292060,Maragogipe,-,-,-,2,104,7
242,292070,Maraú,34,3,-,-,2,-
243,292080,Marcionílio Souza,129,1,1,2,20,-
244,292090,Mascote,190,-,1,2,4,-
245,292100,Mata de São João,4,-,2,17,26,5
246,292105,Matina,9,-,-,-,-,365
247,292110,Medeiros Neto,1,117,7,3,76,-
248,292120,Miguel Calmon,65,24,6,13,22,26
249,292130,Milagres,9,-,-,-,8,-
250,292140,Mirangaba,28,-,-,2,1,130
251,292145,Mirante,-,2,-,-,2,-
252,292150,Monte Santo,698,-,-,-,-,-
253,292160,Morpará,-,-,1,1,1,6
254,292170,Morro do Chapéu,24,1,-,6,10,2
255,292190,Mucugê,234,-,-,1,-,-
256,292200,Mucuri,75,244,13,46,5,1
257,292205,Mulungu do Morro,-,-,-,-,5,7
258,292210,Mundo Novo,185,30,-,-,-,-
259,292220,Muniz Ferreira,6,-,-,-,2,-
260,292225,Muquém de São Francisco,-,-,-,3,4,217
261,292230,Muritiba,12,-,-,26,104,6
262,292240,Mutuípe,12,1,-,-,1,1
263,292250,Nazaré,4,-,-,1,4,-
264,292260,Nilo Peçanha,27,-,1,-,3,-
265,292265,Nordestina,141,1,-,-,6,2
266,292270,Nova Canaã,140,-,-,-,10,214
267,292273,Nova Fátima,38,10,1,-,174,3
268,292275,Nova Ibiá,1,-,-,-,-,-
269,292280,Nova Itarana,20,-,-,-,18,3
270,292285,Nova Redenção,46,-,-,3,77,-
271,292290,Nova Soure,17,-,-,-,38,-
272,292300,Nova Viçosa,125,191,4,110,68,1
273,292303,Novo Horizonte,33,4,2,2,-,2
274,292305,Novo Triunfo,64,-,-,1,-,82
275,292310,Olindina,12,-,-,49,214,-
276,292320,Oliveira dos Brejinhos,19,3,3,2,31,1
277,292330,Ouriçangas,-,-,-,-,112,2
278,292335,Ourolândia,64,-,-,-,5,172
279,292340,Palmas de Monte Alto,4,1,-,-,9,7
280,292350,Palmeiras,2,-,-,-,-,-
281,292360,Paramirim,-,1,8,2,20,6
282,292370,Paratinga,23,1,4,4,139,29
283,292380,Paripiranga,179,3,4,4,10,-
284,292390,Pau Brasil,373,1,2,-,-,1
285,292400,Paulo Afonso,1132,8,2,1,917,45
286,292405,Pé de Serra,8,1,5,5,17,2
287,292410,Pedrão,-,-,-,74,49,-
288,292420,Pedro Alexandre,-,-,-,8,1,-
289,292430,Piatã,-,-,-,-,1,-
290,292440,Pilão Arcado,6,-,5,-,-,-
291,292450,Pindaí,4,-,-,1,-,20
292,292460,Pindobaçu,242,4,1,1,1,-
293,292465,Pintadas,19,2,-,-,-,-
294,292467,Piraí do Norte,-,-,-,-,-,3
295,292470,Piripá,17,-,1,1,26,1
296,292480,Piritiba,249,57,-,-,3,-
297,292490,Planaltino,2,-,-,-,-,-
298,292500,Planalto,7,-,-,-,-,1
299,292510,Poções,16,2,-,-,5,13
300,292520,Pojuca,10,-,2,10,354,401
301,292525,Ponto Novo,247,-,-,3,2,-
302,292530,Porto Seguro,513,805,42,53,35,15
303,292540,Potiraguá,1,-,-,-,-,-
304,292550,Prado,13,22,7,7,162,18
305,292560,Presidente Dutra,23,-,2,-,784,118
306,292570,Presidente Jânio Quadros,-,-,1,-,4,-
307,292575,Presidente Tancredo Neves,12,1,-,2,9,-
308,292580,Queimadas,81,3,-,2,-,-
309,292590,Quijingue,818,1,-,2,20,1
310,292593,Quixabeira,9,1,-,1,37,-
311,292595,Rafael Jambeiro,10,-,-,6,39,-
312,292600,Remanso,70,2,1,1,2,1
313,292610,Retirolândia,296,-,-,-,2,1
314,292620,Riachão das Neves,-,-,-,-,33,523
315,292630,Riachão do Jacuípe,190,24,5,151,270,7
316,292640,Riacho de Santana,6,-,1,1,3,1
317,292650,Ribeira do Amparo,445,-,-,1,1,-
318,292660,Ribeira do Pombal,636,54,167,28,984,11
319,292665,Ribeirão do Largo,-,-,-,-,6,1
320,292670,Rio de Contas,-,-,3,-,2,-
321,292680,Rio do Antônio,2,-,-,-,-,-
322,292690,Rio do Pires,1,1,1,-,260,442
323,292700,Rio Real,219,24,4,430,341,58
324,292710,Rodelas,42,1,-,2,1,-
325,292720,Ruy Barbosa,749,2,-,3,58,517
326,292730,Salinas da Margarida,2,-,-,1,209,-
327,292740,Salvador,1245,366,145,4283,13000,543
328,292750,Santa Bárbara,3,7,1,40,77,-
329,292760,Santa Brígida,882,-,-,-,3,-
330,292770,Santa Cruz Cabrália,43,152,24,-,21,3
331,292780,Santa Cruz da Vitória,64,1,-,-,-,-
