,Codigo,Município,2021
160,291630,Itapebi,27
161,291640,Itapetinga,217
162,291650,Itapicuru,12
163,291660,Itapitanga,3
164,291670,Itaquara,1
165,291680,Itarantim,4
166,291685,Itatim,9
167,291690,Itiruçu,60
168,291700,Itiúba,2
169,291710,Itororó,128
170,291720,Ituaçu,4
171,291730,Ituberá,6
172,291733,Iuiú,141
173,291735,Jaborandi,181
174,291740,Jacaraci,12
175,291750,Jacobina,1168
176,291760,Jaguaquara,272
177,291770,Jaguarari,4
178,291790,Jandaíra,4
179,291800,Jequié,331
180,291810,Jeremoabo,4
181,291830,Jitaúna,1
182,291835,João Dourado,43
183,291840,Juazeiro,145
184,291845,Jucuruçu,1
185,291850,Jussara,132
186,291855,Jussari,3
187,291870,Lafaiete Coutinho,1
188,291875,Lagoa Real,4
189,291880,Laje,1
190,291900,Lajedinho,1
191,291905,Lajedo do Tabocal,3
192,291915,Lapão,43
193,291920,Lauro de Freitas,59
194,291930,Lençóis,5
195,291950,Livramento de Nossa Senhora,17
196,291955,Luís Eduardo Magalhães,4329
197,291960,Macajuba,3
198,291970,Macarani,81
199,291980,Macaúbas,533
200,291992,Madre de Deus,13
201,291995,Maetinga,1
202,292000,Maiquinique,6
203,292010,Mairi,2
204,292020,Malhada,166
205,292030,Malhada de Pedras,4
206,292040,Manoel Vitorino,9
207,292045,Mansidão,256
208,292050,Maracás,32
209,292060,Maragogipe,11
210,292080,Marcionílio Souza,1
211,292100,Mata de São João,3
212,292105,Matina,196
213,292120,Miguel Calmon,82
214,292140,Mirangaba,10
215,292145,Mirante,5
216,292160,Morpará,16
217,292170,Morro do Chapéu,86
218,292180,Mortugaba,2
219,292200,Mucuri,254
220,292205,Mulungu do Morro,8
221,292210,Mundo Novo,1
222,292225,Muquém de São Francisco,325
223,292230,Muritiba,9
224,292240,Mutuípe,1
225,292265,Nordestina,11
226,292270,Nova Canaã,565
227,292273,Nova Fátima,3
228,292275,Nova Ibiá,3
229,292280,Nova Itarana,2
230,292290,Nova Soure,5
231,292300,Nova Viçosa,13
232,292303,Novo Horizonte,11
233,292305,Novo Triunfo,1
234,292320,Oliveira dos Brejinhos,135
235,292330,Ouriçangas,1
236,292335,Ourolândia,365
237,292340,Palmas de Monte Alto,46
238,292350,Palmeiras,1
239,292360,Paramirim,9
240,292370,Paratinga,164
241,292380,Paripiranga,1
242,292390,Pau Brasil,5
243,292400,Paulo Afonso,65
244,292405,Pé de Serra,4
245,292440,Pilão Arcado,5
246,292450,Pindaí,74
247,292460,Pindobaçu,2
248,292465,Pintadas,2
249,292470,Piripá,10
250,292490,Planaltino,2
251,292500,Planalto,13
252,292510,Poções,40
253,292520,Pojuca,333
254,292525,Ponto Novo,3
255,292530,Porto Seguro,105
256,292540,Potiraguá,6
257,292550,Prado,13
258,292560,Presidente Dutra,44
259,292570,Presidente Jânio Quadros,12
260,292575,Presidente Tancredo Neves,2
261,292580,Queimadas,2
262,292590,Quijingue,7
263,292595,Rafael Jambeiro,4
264,292600,Remanso,4
265,292610,Retirolândia,1
266,292620,Riachão das Neves,117
267,292630,Riachão do Jacuípe,16
268,292640,Riacho de Santana,353
269,292660,Ribeira do Pombal,26
270,292665,Ribeirão do Largo,4
271,292670,Rio de Contas,5
272,292680,Rio do Antônio,1
273,292690,Rio do Pires,115
274,292700,Rio Real,63
275,292710,Rodelas,5
276,292720,Ruy Barbosa,434
277,292740,Salvador,1009
278,292750,Santa Bárbara,2
279,292760,Santa Brígida,10
280,292770,Santa Cruz Cabrália,11
281,292805,Santa Luzia,56
282,292810,Santa Maria da Vitória,737
283,292840,Santa Rita de Cássia,499
284,292850,Santa Teresinha,3
285,292800,Santaluz,8
286,292820,Santana,211
287,292830,Santanópolis,5
288,292860,Santo Amaro,2
289,292870,Santo Antônio de Jesus,20
290,292880,Santo Estêvão,42
291,292890,São Desidério,390
292,292910,São Felipe,1
293,292900,São Félix,1
294,292905,São Félix do Coribe,213
295,292920,São Francisco do Conde,8
296,292925,São Gabriel,16
297,292930,São Gonçalo dos Campos,7
298,292935,São José da Vitória,9
299,292937,São José do Jacuípe,1
300,292950,São Sebastião do Passé,13
301,292960,Sapeaçu,16
302,292975,Saubara,2
303,292980,Saúde,1
304,292990,Seabra,31
305,293000,Sebastião Laranjeiras,43
306,293010,Senhor do Bonfim,30
307,293020,Sento Sé,2
308,293015,Serra do Ramalho,177
309,293030,Serra Dourada,144
310,293050,Serrinha,7
311,293060,Serrolândia,15
312,293070,Simões Filho,57
313,293075,Sítio do Mato,34
314,293076,Sítio do Quinto,1
315,293077,Sobradinho,3
316,293080,Souto Soares,34
317,293090,Tabocas do Brejo Velho,1
318,293100,Tanhaçu,1
319,293110,Tanquinho,6
320,293120,Taperoá,10
321,293130,Tapiramutá,3
322,293135,Teixeira de Freitas,171
323,293140,Teodoro Sampaio,6
324,293150,Teofilândia,1
325,293160,Teolândia,10
326,293170,Terra Nova,11
327,293190,Tucano,5
328,293200,Uauá,1
329,293210,Ubaíra,32
330,293220,Ubaitaba,16
331,293230,Ubatã,3
332,293240,Uibaí,5
333,293245,Umburanas,185
334,293250,Una,413
335,293260,Urandi,24
336,293270,Uruçuca,12
337,293280,Utinga,3
338,293290,Valença,18
339,293300,Valente,12
340,293305,Várzea da Roça,1
341,293315,Várzea Nova,344
342,293320,Vera Cruz,23
343,293325,Vereda,10
344,293330,Vitória da Conquista,766
345,293340,Wagner,7
346,293345,Wanderley,1
347,293350,Wenceslau Guimarães,2
348,293360,Xique-Xique,97
