,Codigo,Município,2020
345,292910,São Felipe,4
346,292900,São Félix,113
347,292905,São Félix do Coribe,130
348,292920,São Francisco do Conde,43
349,292925,São Gabriel,109
350,292930,São Gonçalo dos Campos,164
351,292935,São José da Vitória,39
352,292937,São José do Jacuípe,134
353,292940,São Miguel das Matas,22
354,292950,São Sebastião do Passé,98
355,292960,Sapeaçu,16
356,292970,Sátiro Dias,27
357,292975,Saubara,7
358,292980,Saúde,8
359,292990,Seabra,1291
360,293000,Sebastião Laranjeiras,223
361,293010,Senhor do Bonfim,613
362,293020,Sento Sé,10
363,293015,Serra do Ramalho,13
364,293030,Serra Dourada,22
365,293040,Serra Preta,105
366,293050,Serrinha,1567
367,293060,Serrolândia,239
368,293070,Simões Filho,1080
369,293075,Sítio do Mato,169
370,293076,Sítio do Quinto,25
371,293077,Sobradinho,628
372,293080,Souto Soares,297
373,293090,Tabocas do Brejo Velho,2
374,293100,Tanhaçu,429
375,293105,Tanque Novo,3
376,293110,Tanquinho,208
377,293120,Taperoá,89
378,293130,Tapiramutá,15
379,293135,Teixeira de Freitas,973
380,293140,Teodoro Sampaio,56
381,293150,Teofilândia,127
382,293160,Teolândia,7
383,293170,Terra Nova,30
384,293180,Tremedal,51
385,293190,Tucano,409
386,293200,Uauá,153
387,293210,Ubaíra,266
388,293220,Ubaitaba,81
389,293230,Ubatã,110
390,293240,Uibaí,559
391,293245,Umburanas,110
392,293250,Una,72
393,293260,Urandi,8
394,293270,Uruçuca,144
395,293280,Utinga,46
396,293290,Valença,202
397,293300,Valente,1115
398,293305,Várzea da Roça,77
399,293310,Várzea do Poço,1
400,293315,Várzea Nova,56
401,293317,Varzedo,7
402,293320,Vera Cruz,685
403,293325,Vereda,6
404,293330,Vitória da Conquista,6774
405,293340,Wagner,54
406,293345,Wanderley,1
407,293350,Wenceslau Guimarães,52
408,293360,Xique-Xique,19
