,Codigo,Municipio,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
76,290750,Catu,1,1,0,1,3,4,0,2,1,2,3,1
77,290755,Caturama,2,1,3,0,2,0,1,0,1,1,0,1
78,290760,Central,4,0,0,1,0,0,1,0,0,0,0,3
79,290780,Cícero Dantas,1,0,0,0,0,0,5,0,0,0,0,0
80,290800,Coaraci,0,1,2,0,0,0,0,0,0,1,17,261
81,290810,Cocos,0,0,1,15,18,10,1,0,0,0,1,0
82,290820,Conceição da Feira,0,1,1,0,0,0,1,1,0,0,0,1
83,290830,Conceição do Almeida,0,0,0,1,0,0,1,0,3,0,0,0
84,290840,Conceição do Coité,1,0,0,1,3,3,2,2,0,1,0,1
85,290850,Conceição do Jacuípe,2,1,2,2,2,0,0,0,0,0,1,0
86,290860,Conde,1,1,1,0,0,0,0,0,0,1,0,0
87,290870,Condeúba,0,0,1,0,0,0,0,1,0,1,2,1
88,290880,Contendas do Sincorá,0,0,0,0,0,0,3,1,0,0,1,0
89,290890,Coração de Maria,0,1,0,0,0,0,0,1,0,0,0,1
90,290900,Cordeiros,0,0,0,0,0,0,0,0,0,2,0,1
91,290910,Coribe,3,12,35,48,40,17,4,1,1,1,1,4
92,290920,Coronel João Sá,10,12,5,0,0,0,0,0,0,0,0,0
93,290930,Correntina,15,55,163,190,98,20,4,1,0,0,0,10
94,290940,Cotegipe,0,1,31,46,89,4,5,1,0,0,0,0
95,290970,Cristópolis,0,21,26,7,3,5,0,2,0,0,1,0
96,290980,Cruz das Almas,1,2,2,0,2,3,0,0,1,0,0,1
97,290990,Curaçá,0,1,1,2,0,2,0,1,1,0,0,0
98,291000,Dário Meira,0,2,80,35,5,5,1,0,0,0,0,0
99,291005,Dias d'Ávila,1,3,1,2,2,3,2,6,3,1,0,1
100,291010,Dom Basílio,0,1,3,1,1,1,2,0,0,0,1,0
101,291030,Elísio Medrado,0,0,0,0,0,1,0,0,2,0,0,0
102,291040,Encruzilhada,0,1,2,0,0,1,2,0,0,1,0,1
103,290050,Érico Cardoso,1,0,0,0,1,0,0,0,0,0,0,0
104,291060,Esplanada,0,2,0,1,2,1,2,0,2,0,0,0
105,291070,Euclides da Cunha,0,0,1,0,0,1,0,1,0,1,0,0
106,291072,Eunápolis,8,2,2,0,0,1,0,0,0,0,0,5
107,291075,Fátima,1,1,1,0,0,0,0,1,0,0,0,0
108,291077,Feira da Mata,0,0,9,22,22,14,0,0,0,0,0,0
109,291080,Feira de Santana,57,48,75,54,88,82,40,51,34,51,58,91
110,291085,Filadélfia,0,0,1,0,0,0,0,0,0,0,0,0
111,291110,Formosa do Rio Preto,0,4,201,371,251,25,6,2,1,0,0,0
112,291120,Gandu,3,6,5,1,7,1,7,5,2,1,6,10
113,291130,Gentio do Ouro,0,0,4,5,5,4,0,0,1,0,0,0
114,291140,Glória,0,0,0,0,0,0,1,0,0,0,0,0
115,291150,Gongogi,1,0,0,0,0,0,0,0,0,0,0,0
116,291160,Governador Mangabeira,1,3,1,0,0,0,0,0,0,0,1,0
117,291165,Guajeru,0,0,0,0,0,0,1,0,0,0,0,0
118,291170,Guanambi,36,63,421,644,308,160,51,15,7,11,9,19
119,291180,Guaratinga,1,0,0,0,0,0,0,0,0,0,0,0
120,291185,Heliópolis,1,0,0,0,0,0,0,0,0,0,0,0
121,291190,Iaçu,2,1,1,0,1,1,2,0,0,0,0,0
122,291200,Ibiassucê,0,0,0,0,0,1,0,0,0,0,0,0
123,291210,Ibicaraí,0,1,1,0,0,0,3,1,0,0,0,0
124,291220,Ibicoara,0,0,0,1,0,0,1,0,0,3,1,0
125,291230,Ibicuí,2,0,0,1,1,2,0,0,0,0,4,4
126,291240,Ibipeba,0,0,0,2,45,3,0,0,0,0,0,0
127,291250,Ibipitanga,0,1,6,3,2,1,1,4,0,0,0,3
128,291270,Ibirapitanga,0,1,1,0,0,2,0,0,0,0,0,0
129,291290,Ibirataia,5,1,0,0,3,0,1,1,0,0,0,1
130,291300,Ibitiara,1,0,0,11,1,0,0,0,0,0,0,0
131,291310,Ibititá,0,1,1,0,1,0,0,0,0,0,1,0
132,291320,Ibotirama,0,1,11,116,364,104,7,0,0,0,0,0
133,291330,Ichu,0,0,0,0,1,0,1,0,0,0,0,0
134,291340,Igaporã,33,41,25,31,5,8,15,6,0,0,0,0
135,291350,Iguaí,1,4,15,11,13,1,3,2,1,3,1,1
136,291360,Ilhéus,9,10,12,3,15,11,7,7,7,1,34,10
137,291370,Inhambupe,2,0,1,3,1,1,1,3,3,0,0,3
138,291380,Ipecaetá,0,0,0,0,1,0,0,0,1,0,0,0
139,291390,Ipiaú,27,29,13,16,18,14,16,3,7,5,5,23
140,291400,Ipirá,1,0,0,2,1,1,0,0,0,0,0,0
141,291410,Ipupiara,2,0,0,61,91,28,7,4,0,0,0,0
142,291440,Iraquara,0,2,0,0,0,0,0,0,0,0,1,0
143,291450,Irará,0,0,1,0,0,0,0,0,0,1,0,0
144,291460,Irecê,6,12,22,61,82,105,51,16,3,8,5,5
145,291465,Itabela,0,2,1,0,0,1,0,0,0,0,0,1
146,291470,Itaberaba,17,19,12,23,13,12,6,5,8,3,5,32
147,291480,Itabuna,62,66,66,78,70,54,54,39,41,37,49,33
148,291490,Itacaré,1,0,1,0,0,0,0,1,1,1,0,0
149,291510,Itagi,0,0,4,0,0,0,1,1,0,1,0,0
150,291520,Itagibá,21,74,46,20,14,0,1,0,1,0,0,3
151,291535,Itaguaçu da Bahia,0,0,4,21,1,2,0,3,0,0,1,2
152,291550,Itajuípe,4,4,14,8,6,10,5,0,3,6,11,91
153,291560,Itamaraju,1,1,4,1,3,0,5,2,5,7,29,147
154,291570,Itamari,1,0,11,0,0,0,0,0,0,0,0,0
155,291580,Itambé,0,0,1,3,0,0,4,0,0,0,0,4
156,291590,Itanagra,0,0,1,0,0,0,0,0,0,0,0,0
157,291600,Itanhém,0,0,1,0,0,0,0,0,0,0,0,0
158,291610,Itaparica,0,0,0,0,3,0,0,1,0,0,0,0
159,291620,Itapé,2,0,0,1,0,0,0,0,2,0,0,0
160,291630,Itapebi,0,0,0,0,0,0,0,0,0,0,0,27
161,291640,Itapetinga,0,15,33,24,30,8,25,15,1,4,1,61
162,291650,Itapicuru,1,0,3,0,3,0,0,0,5,0,0,0
163,291660,Itapitanga,0,0,0,0,0,1,0,0,0,0,0,2
164,291670,Itaquara,0,1,0,0,0,0,0,0,0,0,0,0
165,291680,Itarantim,1,0,0,0,0,0,0,1,1,1,0,0
166,291685,Itatim,1,1,3,0,1,0,0,0,1,1,1,0
167,291690,Itiruçu,0,2,29,24,4,0,0,0,0,1,0,0
168,291700,Itiúba,0,0,0,0,0,0,1,0,0,0,0,1
169,291710,Itororó,0,0,0,2,9,3,0,0,1,0,38,75
170,291720,Ituaçu,0,1,1,2,0,0,0,0,0,0,0,0
171,291730,Ituberá,0,0,0,0,0,0,0,3,0,1,2,0
172,291733,Iuiú,6,51,45,16,14,6,0,0,0,0,0,3
173,291735,Jaborandi,1,8,18,41,58,44,7,2,1,0,0,1
174,291740,Jacaraci,3,0,2,0,0,0,1,0,1,0,2,3
175,291750,Jacobina,16,53,256,234,255,230,46,29,19,7,13,10
176,291760,Jaguaquara,54,64,72,49,16,7,4,3,1,0,0,2
177,291770,Jaguarari,0,0,0,0,1,0,1,0,1,1,0,0
178,291790,Jandaíra,0,1,0,0,0,0,0,0,2,0,1,0
179,291800,Jequié,105,67,39,36,20,10,8,9,2,10,7,18
180,291810,Jeremoabo,1,1,0,0,1,1,0,0,0,0,0,0
181,291830,Jitaúna,0,0,0,0,0,0,0,0,0,0,0,1
182,291835,João Dourado,0,2,20,1,15,1,4,0,0,0,0,0
183,291840,Juazeiro,29,14,23,13,9,16,5,10,7,5,9,5
184,291845,Jucuruçu,0,0,0,0,0,0,1,0,0,0,0,0
185,291850,Jussara,0,2,0,29,82,10,5,3,0,0,0,1
186,291855,Jussari,0,1,0,0,0,0,0,0,0,1,0,1
187,291870,Lafaiete Coutinho,1,0,0,0,0,0,0,0,0,0,0,0
188,291875,Lagoa Real,0,0,0,4,0,0,0,0,0,0,0,0
189,291880,Laje,0,0,0,0,0,0,0,0,0,1,0,0
190,291900,Lajedinho,0,0,1,0,0,0,0,0,0,0,0,0
191,291905,Lajedo do Tabocal,0,0,1,0,0,1,0,0,0,0,0,1
192,291915,Lapão,0,0,0,5,9,10,6,3,1,0,4,5
193,291920,Lauro de Freitas,4,6,6,6,10,4,5,4,4,0,6,4
194,291930,Lençóis,0,0,0,0,0,0,0,3,2,0,0,0
195,291950,Livramento de Nossa Senhora,0,3,0,1,1,2,2,0,3,2,1,2
196,291955,Luís Eduardo Magalhães,40,0,0,401,50,12,17,1,2,0,0,4
197,291960,Macajuba,0,0,0,0,1,1,0,0,0,1,0,0
198,291970,Macarani,0,0,0,0,0,0,0,1,1,5,40,34
199,291980,Macaúbas,12,51,47,123,197,50,17,26,7,2,1,0
200,291992,Madre de Deus,2,3,0,1,1,0,0,0,1,0,4,1
201,291995,Maetinga,1,0,0,0,0,0,0,0,0,0,0,0
202,292000,Maiquinique,0,0,0,0,0,6,0,0,0,0,0,0
203,292010,Mairi,1,0,0,0,0,0,0,0,0,0,0,1
204,292020,Malhada,1,3,70,66,25,1,0,0,0,0,0,0
205,292030,Malhada de Pedras,0,0,0,1,0,1,0,0,0,1,0,1
206,292040,Manoel Vitorino,6,0,1,2,0,0,0,0,0,0,0,0
207,292045,Mansidão,0,1,0,47,175,15,18,0,0,0,0,0
208,292050,Maracás,11,7,1,0,0,0,0,1,2,3,6,1
209,292060,Maragogipe,4,1,3,1,0,0,0,0,0,0,1,1
210,292080,Marcionílio Souza,0,0,0,0,0,0,0,0,0,0,0,1
211,292100,Mata de São João,1,1,0,0,0,1,0,0,0,0,0,0
212,292105,Matina,0,1,9,128,39,18,0,0,1,0,0,0
213,292120,Miguel Calmon,7,7,5,3,9,21,8,3,0,2,7,10
214,292140,Mirangaba,0,0,0,2,4,2,0,0,0,0,0,2
215,292145,Mirante,0,0,0,0,1,0,0,0,2,1,0,1
216,292160,Morpará,0,0,3,5,4,0,4,0,0,0,0,0
217,292170,Morro do Chapéu,1,0,9,26,28,15,6,1,0,0,0,0
218,292180,Mortugaba,0,0,0,0,0,0,1,1,0,0,0,0
219,292200,Mucuri,14,2,33,35,53,62,20,5,5,3,9,13
220,292205,Mulungu do Morro,0,0,0,0,0,3,0,0,0,1,2,2
221,292210,Mundo Novo,0,0,0,0,0,0,0,0,1,0,0,0
222,292225,Muquém de São Francisco,0,1,9,140,173,2,0,0,0,0,0,0
223,292230,Muritiba,0,3,0,0,0,2,0,2,0,1,0,1
224,292240,Mutuípe,0,0,0,0,0,0,0,0,0,1,0,0
225,292265,Nordestina,3,5,0,0,2,1,0,0,0,0,0,0
226,292270,Nova Canaã,202,197,125,29,4,6,1,0,0,0,1,0
227,292273,Nova Fátima,0,0,0,0,1,0,0,1,0,0,1,0
228,292275,Nova Ibiá,0,1,0,0,0,1,1,0,0,0,0,0
229,292280,Nova Itarana,0,1,0,0,1,0,0,0,0,0,0,0
230,292290,Nova Soure,0,1,2,0,1,0,0,0,1,0,0,0
231,292300,Nova Viçosa,0,0,5,0,2,1,2,2,1,0,0,0
232,292303,Novo Horizonte,0,7,1,0,1,1,0,0,0,1,0,0
233,292305,Novo Triunfo,0,0,0,0,0,1,0,0,0,0,0,0
234,292320,Oliveira dos Brejinhos,0,1,0,3,7,59,16,2,5,4,14,24
235,292330,Ouriçangas,0,0,0,0,0,0,0,0,0,0,1,0
236,292335,Ourolândia,2,3,6,53,136,104,31,4,4,5,5,12
237,292340,Palmas de Monte Alto,1,0,9,3,10,8,8,3,0,0,1,3
238,292350,Palmeiras,0,0,0,0,1,0,0,0,0,0,0,0
239,292360,Paramirim,0,1,2,2,3,0,0,1,0,0,0,0
240,292370,Paratinga,0,6,23,25,29,54,21,3,3,0,0,0
241,292380,Paripiranga,0,0,0,0,0,0,0,1,0,0,0,0
242,292390,Pau Brasil,1,0,1,0,0,0,0,0,0,2,0,1
243,292400,Paulo Afonso,9,5,0,5,4,3,3,15,5,10,5,1
244,292405,Pé de Serra,0,1,3,0,0,0,0,0,0,0,0,0
245,292440,Pilão Arcado,1,0,1,0,0,1,0,0,1,0,0,1
246,292450,Pindaí,0,0,0,0,42,18,7,0,0,2,5,0
247,292460,Pindobaçu,0,1,0,0,0,0,0,0,0,1,0,0
248,292465,Pintadas,0,0,0,0,0,0,0,0,0,1,0,1
249,292470,Piripá,3,1,0,2,0,0,0,0,0,0,2,2
250,292490,Planaltino,0,0,0,0,0,0,0,0,0,2,0,0
251,292500,Planalto,1,2,1,2,3,2,0,1,0,0,0,1
252,292510,Poções,8,5,10,9,5,1,2,0,0,0,0,0
253,292520,Pojuca,25,34,32,19,34,49,34,31,11,16,24,24
254,292525,Ponto Novo,2,0,0,0,0,0,0,1,0,0,0,0
255,292530,Porto Seguro,3,3,2,5,11,21,10,5,12,6,8,19
256,292540,Potiraguá,0,0,0,0,0,0,0,0,0,0,0,6
257,292550,Prado,1,0,0,2,0,0,0,0,1,0,3,6
258,292560,Presidente Dutra,0,2,3,22,5,3,4,1,2,2,0,0
259,292570,Presidente Jânio Quadros,0,5,1,2,0,3,1,0,0,0,0,0
260,292575,Presidente Tancredo Neves,1,0,0,1,0,0,0,0,0,0,0,0
261,292580,Queimadas,2,0,0,0,0,0,0,0,0,0,0,0
262,292590,Quijingue,0,0,0,0,0,0,0,2,0,3,2,0
263,292595,Rafael Jambeiro,0,0,0,1,1,1,0,0,0,0,1,0
264,292600,Remanso,0,2,0,0,0,0,0,0,0,0,1,1
265,292610,Retirolândia,1,0,0,0,0,0,0,0,0,0,0,0
266,292620,Riachão das Neves,2,76,39,0,0,0,0,0,0,0,0,0
267,292630,Riachão do Jacuípe,6,5,2,0,1,1,0,0,0,0,1,0
268,292640,Riacho de Santana,1,0,16,72,84,123,40,13,1,0,2,1
269,292660,Ribeira do Pombal,3,4,0,0,3,7,0,0,3,0,3,3
270,292665,Ribeirão do Largo,0,0,0,1,0,2,1,0,0,0,0,0
271,292670,Rio de Contas,0,0,0,1,4,0,0,0,0,0,0,0
272,292680,Rio do Antônio,0,0,1,0,0,0,0,0,0,0,0,0
273,292690,Rio do Pires,28,33,37,10,5,0,1,1,0,0,0,0
274,292700,Rio Real,25,8,11,10,0,1,1,3,3,1,0,0
275,292710,Rodelas,0,0,0,0,0,2,1,0,1,0,1,0
276,292720,Ruy Barbosa,0,0,0,1,45,220,114,39,9,4,2,0
277,292740,Salvador,97,123,65,82,112,86,54,82,73,81,81,73
278,292750,Santa Bárbara,0,0,0,0,0,0,1,0,1,0,0,0
279,292760,Santa Brígida,0,0,4,3,0,0,0,1,2,0,0,0
280,292770,Santa Cruz Cabrália,0,0,2,1,5,0,0,0,0,0,2,1
281,292805,Santa Luzia,0,0,0,0,0,0,0,0,0,0,5,51
282,292810,Santa Maria da Vitória,1,35,167,159,191,119,38,12,5,3,6,1
283,292840,Santa Rita de Cássia,1,7,43,150,254,38,1,0,0,0,1,4
284,292850,Santa Teresinha,0,0,0,1,0,0,0,0,0,2,0,0
285,292800,Santaluz,1,2,1,1,1,0,1,0,0,1,0,0
286,292820,Santana,0,0,36,80,63,23,4,1,0,0,1,3
287,292830,Santanópolis,0,0,0,1,0,1,0,0,0,0,1,2
288,292860,Santo Amaro,0,0,0,0,0,0,0,0,0,0,1,1
289,292870,Santo Antônio de Jesus,5,2,4,2,2,1,0,3,0,0,0,1
290,292880,Santo Estêvão,7,7,1,3,7,0,2,0,1,2,5,7
291,292890,São Desidério,26,60,148,94,14,11,15,5,9,5,2,1
292,292910,São Felipe,0,0,0,0,1,0,0,0,0,0,0,0
293,292900,São Félix,0,0,0,0,0,0,0,1,0,0,0,0
294,292905,São Félix do Coribe,9,5,55,33,93,17,0,0,1,0,0,0
295,292920,São Francisco do Conde,0,1,2,0,0,0,0,2,1,2,0,0
296,292925,São Gabriel,0,0,1,1,1,1,1,1,3,2,4,1
297,292930,São Gonçalo dos Campos,1,1,1,0,0,1,1,0,2,0,0,0
298,292935,São José da Vitória,1,0,0,1,0,1,1,0,1,1,2,1
299,292937,São José do Jacuípe,0,1,0,0,0,0,0,0,0,0,0,0
300,292950,São Sebastião do Passé,1,0,2,1,6,1,0,0,0,0,1,1
301,292960,Sapeaçu,1,0,0,0,1,0,2,11,0,1,0,0
302,292975,Saubara,0,0,0,0,0,0,0,1,0,1,0,0
303,292980,Saúde,0,0,0,0,0,0,0,0,1,0,0,0
304,292990,Seabra,0,1,6,9,1,3,1,2,0,0,4,4
305,293000,Sebastião Laranjeiras,1,0,9,14,6,2,4,2,0,0,1,4
306,293010,Senhor do Bonfim,6,3,6,1,4,2,0,3,3,0,1,1
307,293020,Sento Sé,1,0,0,0,0,0,0,0,0,0,0,1
308,293015,Serra do Ramalho,1,0,7,1,2,10,1,4,6,1,3,141
309,293030,Serra Dourada,0,0,1,21,38,47,18,8,6,2,3,0
310,293050,Serrinha,0,1,0,1,2,2,0,1,0,0,0,0
311,293060,Serrolândia,1,0,1,4,3,3,1,0,1,1,0,0
312,293070,Simões Filho,15,20,5,7,3,0,0,1,2,2,0,2
313,293075,Sítio do Mato,0,0,1,0,5,9,13,4,1,0,0,1
314,293076,Sítio do Quinto,1,0,0,0,0,0,0,0,0,0,0,0
315,293077,Sobradinho,1,0,1,1,0,0,0,0,0,0,0,0
316,293080,Souto Soares,1,1,5,9,11,0,0,0,0,7,0,0
317,293090,Tabocas do Brejo Velho,0,1,0,0,0,0,0,0,0,0,0,0
318,293100,Tanhaçu,0,0,0,0,0,0,1,0,0,0,0,0
319,293110,Tanquinho,3,2,1,0,0,0,0,0,0,0,0,0
320,293120,Taperoá,0,0,2,0,2,1,1,0,1,3,0,0
321,293130,Tapiramutá,0,1,0,1,0,1,0,0,0,0,0,0
322,293135,Teixeira de Freitas,13,2,15,26,14,16,15,18,21,10,9,12
323,293140,Teodoro Sampaio,0,3,1,0,1,0,0,1,0,0,0,0
324,293150,Teofilândia,0,0,0,0,0,0,0,0,1,0,0,0
325,293160,Teolândia,0,0,4,3,2,0,0,1,0,0,0,0
326,293170,Terra Nova,0,0,0,0,6,0,4,1,0,0,0,0
327,293190,Tucano,0,2,0,3,0,0,0,0,0,0,0,0
328,293200,Uauá,0,0,0,0,0,1,0,0,0,0,0,0
329,293210,Ubaíra,1,0,0,0,0,0,0,0,0,0,0,31
330,293220,Ubaitaba,0,0,0,0,0,1,10,2,0,1,2,0
331,293230,Ubatã,1,1,0,0,0,1,0,0,0,0,0,0
332,293240,Uibaí,0,1,1,1,1,0,0,0,0,1,0,0
333,293245,Umburanas,0,0,2,4,2,8,1,0,2,4,47,115
334,293250,Una,5,3,7,0,3,7,4,11,35,64,123,151
335,293260,Urandi,0,1,2,5,9,0,2,0,0,0,1,4
336,293270,Uruçuca,2,6,0,2,0,0,0,0,0,1,1,0
337,293280,Utinga,0,1,0,0,0,0,0,0,0,1,0,1
338,293290,Valença,0,1,2,0,1,3,2,7,1,1,0,0
339,293300,Valente,0,0,0,0,2,0,1,1,0,1,1,6
340,293305,Várzea da Roça,0,0,0,0,1,0,0,0,0,0,0,0
341,293315,Várzea Nova,0,0,27,172,142,2,1,0,0,0,0,0
342,293320,Vera Cruz,2,5,3,0,1,5,1,1,0,0,0,5
343,293325,Vereda,0,0,0,0,0,2,7,0,0,1,0,0
344,293330,Vitória da Conquista,87,70,157,102,83,48,34,35,38,32,33,47
345,293340,Wagner,0,0,2,0,1,0,3,0,0,0,0,1
346,293345,Wanderley,0,1,0,0,0,0,0,0,0,0,0,0
347,293350,Wenceslau Guimarães,0,0,0,0,0,1,1,0,0,0,0,0
348,293360,Xique-Xique,0,1,28,49,14,3,0,1,0,0,0,1
