,Codigo,Município,Em Branco,Ignorado,Masculino,Feminino
249,292110,Medeiros Neto,0,0,111,195
250,292120,Miguel Calmon,0,0,47,51
251,292130,Milagres,0,0,45,64
252,292140,Mirangaba,0,0,22,39
253,292145,Mirante,0,0,41,49
254,292150,Monte Santo,0,0,2,5
255,292160,Morpará,1,0,107,96
256,292170,Morro do Chapéu,0,2,108,167
257,292180,Mortugaba,0,0,4,10
258,292200,Mucuri,0,0,82,93
259,292205,Mulungu do Morro,0,0,42,72
260,292210,Mundo Novo,0,0,7,13
261,292220,Muniz Ferreira,0,0,3,2
262,292230,Muritiba,0,0,40,42
263,292240,Mutuípe,0,0,15,22
264,292250,Nazaré,0,0,8,6
265,292260,Nilo Peçanha,0,0,56,41
266,292265,Nordestina,0,0,7,17
267,292270,Nova Canaã,0,0,133,169
268,292273,Nova Fátima,0,0,89,135
269,292275,Nova Ibiá,0,0,42,65
270,292280,Nova Itarana,0,0,41,60
271,292285,Nova Redenção,0,0,108,119
272,292290,Nova Soure,0,0,53,74
273,292300,Nova Viçosa,0,0,68,89
274,292303,Novo Horizonte,0,0,5,8
275,292305,Novo Triunfo,0,0,7,2
276,292310,Olindina,0,0,21,27
277,292320,Oliveira dos Brejinhos,0,0,73,107
278,292330,Ouriçangas,0,0,66,85
279,292335,Ourolândia,0,0,102,107
280,292340,Palmas de Monte Alto,0,0,31,38
281,292350,Palmeiras,0,0,92,85
282,292360,Paramirim,0,0,45,57
283,292370,Paratinga,0,1,226,318
284,292380,Paripiranga,0,0,20,40
285,292390,Pau Brasil,0,0,3,3
286,292400,Paulo Afonso,0,0,715,0
287,292405,Pé de Serra,0,0,126,148
288,292410,Pedrão,0,0,19,29
289,292420,Pedro Alexandre,0,0,0,1
290,292430,Piatã,0,0,1,0
291,292440,Pilão Arcado,0,0,1,2
292,292450,Pindaí,0,0,4,2
293,292460,Pindobaçu,0,0,22,32
294,292465,Pintadas,0,0,3,7
295,292467,Piraí do Norte,0,0,5,7
296,292470,Piripá,0,1,119,149
297,292480,Piritiba,0,0,27,48
298,292490,Planaltino,0,0,1,5
299,292500,Planalto,0,0,37,82
300,292510,Poções,0,0,28,44
301,292520,Pojuca,0,0,179,229
302,292525,Ponto Novo,0,0,17,26
303,292530,Porto Seguro,0,2,251,350
304,292540,Potiraguá,0,0,2,2
305,292550,Prado,0,0,30,53
306,292560,Presidente Dutra,0,0,368,441
307,292570,Presidente Jânio Quadros,0,0,16,26
308,292575,Presidente Tancredo Neves,0,0,20,25
309,292580,Queimadas,0,0,6,10
310,292590,Quijingue,0,0,60,84
311,292593,Quixabeira,0,0,55,122
312,292595,Rafael Jambeiro,0,0,34,37
313,292600,Remanso,0,0,25,28
314,292610,Retirolândia,0,0,21,30
315,292620,Riachão das Neves,0,1,39,48
316,292630,Riachão do Jacuípe,0,0,90,100
317,292640,Riacho de Santana,0,0,42,52
318,292650,Ribeira do Amparo,0,0,0,1
319,292660,Ribeira do Pombal,0,0,205,216
320,292665,Ribeirão do Largo,0,0,33,43
321,292670,Rio de Contas,0,0,11,11
322,292680,Rio do Antônio,0,0,83,104
323,292690,Rio do Pires,0,0,50,79
324,292700,Rio Real,0,0,213,226
325,292710,Rodelas,0,0,5,3
326,292720,Ruy Barbosa,0,0,16,34
327,292730,Salinas da Margarida,0,0,3,1
328,292740,Salvador,3,32,0,0
329,292750,Santa Bárbara,0,0,30,45
330,292760,Santa Brígida,0,0,5,3
331,292770,Santa Cruz Cabrália,0,0,101,77
332,292790,Santa Inês,0,0,6,7
333,292805,Santa Luzia,0,0,21,41
334,292810,Santa Maria da Vitória,0,0,180,187
335,292840,Santa Rita de Cássia,0,1,119,186
336,292850,Santa Teresinha,0,0,36,71
337,292800,Santaluz,0,0,186,238
338,292820,Santana,0,0,8,16
339,292830,Santanópolis,0,0,37,57
340,292860,Santo Amaro,0,0,42,64
341,292870,Santo Antônio de Jesus,0,1,398,523
342,292880,Santo Estêvão,0,0,184,187
343,292890,São Desidério,0,0,52,65
344,292895,São Domingos,0,0,94,134
345,292910,São Felipe,0,0,1,3
346,292900,São Félix,0,0,44,69
347,292905,São Félix do Coribe,0,0,63,67
348,292920,São Francisco do Conde,0,0,24,19
349,292925,São Gabriel,0,0,45,64
350,292930,São Gonçalo dos Campos,0,0,90,74
351,292935,São José da Vitória,0,0,19,20
352,292937,São José do Jacuípe,0,0,59,75
353,292940,São Miguel das Matas,0,0,6,16
354,292950,São Sebastião do Passé,0,0,52,46
355,292960,Sapeaçu,0,0,3,13
356,292970,Sátiro Dias,0,0,19,8
357,292975,Saubara,0,0,2,5
358,292980,Saúde,0,0,5,3
359,292990,Seabra,0,0,547,744
360,293000,Sebastião Laranjeiras,0,0,93,130
361,293010,Senhor do Bonfim,0,0,272,341
362,293020,Sento Sé,0,0,6,4
363,293015,Serra do Ramalho,0,0,7,6
364,293030,Serra Dourada,0,0,8,14
365,293040,Serra Preta,0,0,46,59
366,293050,Serrinha,0,0,708,859
367,293060,Serrolândia,0,0,108,131
368,293070,Simões Filho,0,0,541,539
369,293075,Sítio do Mato,0,0,55,114
370,293076,Sítio do Quinto,0,0,14,11
371,293077,Sobradinho,0,0,286,342
372,293080,Souto Soares,0,0,119,178
373,293090,Tabocas do Brejo Velho,0,0,1,1
374,293100,Tanhaçu,0,0,175,254
375,293105,Tanque Novo,0,0,0,3
376,293110,Tanquinho,0,1,96,111
377,293120,Taperoá,0,0,43,46
378,293130,Tapiramutá,0,0,8,7
379,293135,Teixeira de Freitas,0,0,415,558
380,293140,Teodoro Sampaio,0,0,20,36
381,293150,Teofilândia,0,0,58,69
382,293160,Teolândia,0,0,3,4
383,293170,Terra Nova,0,0,14,16
384,293180,Tremedal,0,0,20,31
385,293190,Tucano,0,0,168,241
386,293200,Uauá,0,0,83,70
