,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+,Codigo
72,Carinhanha,2,13,29,30,31,61,79,32,14,2,290710
73,Casa Nova,1,0,0,1,0,5,3,1,0,0,290720
74,Castro Alves,0,0,0,1,0,1,0,0,0,0,290730
75,Catolândia,0,2,4,1,4,8,22,6,2,0,290740
76,Catu,0,1,1,0,6,3,5,3,0,0,290750
77,Caturama,0,1,0,1,2,5,1,2,0,0,290755
78,Central,1,0,1,3,0,2,2,0,0,0,290760
79,Cícero Dantas,0,0,0,1,2,1,2,0,0,0,290780
80,Coaraci,4,7,16,17,24,78,56,50,25,5,290800
81,Cocos,1,2,5,4,2,16,8,5,2,1,290810
82,Conceição da Feira,0,1,1,0,0,1,2,0,0,0,290820
83,Conceição do Almeida,0,0,0,0,0,1,4,0,0,0,290830
84,Conceição do Coité,3,2,1,1,0,3,2,0,2,0,290840
85,Conceição do Jacuípe,1,1,0,0,1,6,1,0,0,0,290850
86,Conde,0,0,0,0,1,0,0,1,2,0,290860
87,Condeúba,0,1,0,0,1,1,0,1,2,0,290870
88,Contendas do Sincorá,0,0,0,1,2,1,0,1,0,0,290880
89,Coração de Maria,0,0,0,0,0,0,2,1,0,0,290890
90,Cordeiros,0,0,0,0,0,0,1,1,1,0,290900
91,Coribe,8,2,13,8,18,53,33,20,10,2,290910
92,Coronel João Sá,0,2,1,0,4,7,6,4,3,0,290920
93,Correntina,10,18,20,35,43,152,156,91,22,9,290930
94,Cotegipe,5,9,13,4,15,50,35,34,11,1,290940
95,Cristópolis,1,0,7,3,3,13,20,11,6,1,290970
96,Cruz das Almas,0,0,3,0,0,1,6,0,2,0,290980
97,Curaçá,0,0,0,0,0,4,2,2,0,0,290990
98,Dário Meira,4,4,10,8,5,30,30,22,9,5,291000
99,Dias d'Ávila,2,1,1,0,0,7,8,5,1,0,291005
100,Dom Basílio,0,0,0,0,1,5,3,1,0,0,291010
101,Elísio Medrado,0,1,0,0,0,2,0,0,0,0,291030
102,Encruzilhada,0,1,0,1,0,2,1,3,0,0,291040
103,Érico Cardoso,0,0,0,0,0,0,2,0,0,0,290050
104,Esplanada,1,2,0,1,0,2,4,0,0,0,291060
105,Euclides da Cunha,0,1,0,2,0,0,1,0,0,0,291070
106,Eunápolis,0,0,0,0,4,7,1,4,1,1,291072
107,Fátima,0,1,0,0,0,0,2,0,0,1,291075
108,Feira da Mata,1,7,14,6,6,10,18,3,2,0,291077
109,Feira de Santana,42,77,40,34,39,240,152,76,23,6,291080
110,Filadélfia,0,0,0,0,0,0,1,0,0,0,291085
111,Formosa do Rio Preto,6,25,43,61,78,207,229,133,71,8,291110
112,Gandu,1,4,0,2,5,12,16,11,3,0,291120
113,Gentio do Ouro,0,0,2,4,2,4,5,1,1,0,291130
114,Glória,0,0,0,0,0,0,1,0,0,0,291140
115,Gongogi,0,0,0,0,0,0,1,0,0,0,291150
116,Governador Mangabeira,0,0,0,1,0,4,1,0,0,0,291160
117,Guajeru,0,0,0,0,0,0,0,1,0,0,291165
118,Guanambi,13,29,85,107,127,532,426,280,107,35,291170
119,Guaratinga,0,0,0,0,0,0,1,0,0,0,291180
120,Heliópolis,0,0,0,0,0,0,1,0,0,0,291185
121,Iaçu,0,0,0,0,0,3,3,2,0,0,291190
122,Ibiassucê,0,0,0,0,0,1,0,0,0,0,291200
123,Ibicaraí,1,3,0,1,0,0,0,0,1,0,291210
124,Ibicoara,0,0,0,1,0,2,1,2,0,0,291220
125,Ibicuí,1,1,0,0,0,7,3,2,0,0,291230
126,Ibipeba,1,4,3,4,3,8,12,11,4,0,291240
127,Ibipitanga,0,0,0,2,1,7,5,5,1,0,291250
128,Ibirapitanga,0,0,1,0,0,3,0,0,0,0,291270
129,Ibirataia,1,0,1,0,1,5,1,3,0,0,291290
130,Ibitiara,0,0,1,1,3,3,1,2,2,0,291300
131,Ibititá,0,0,0,0,1,1,0,1,1,0,291310
132,Ibotirama,9,14,24,35,31,146,177,106,55,6,291320
133,Ichu,0,0,0,1,0,0,0,1,0,0,291330
134,Igaporã,1,3,12,19,7,38,48,25,9,2,291340
135,Iguaí,2,0,0,2,6,18,16,9,3,0,291350
136,Ilhéus,5,5,8,9,12,34,32,17,3,1,291360
137,Inhambupe,0,1,3,3,2,4,4,1,0,0,291370
138,Ipecaetá,0,0,0,0,1,0,0,1,0,0,291380
139,Ipiaú,0,2,5,8,16,71,44,23,6,1,291390
140,Ipirá,1,1,0,0,0,2,1,0,0,0,291400
141,Ipupiara,1,0,5,9,19,47,50,40,18,4,291410
142,Iraquara,0,0,0,0,0,1,2,0,0,0,291440
143,Irará,0,0,0,1,0,0,0,1,0,0,291450
144,Irecê,1,12,21,19,29,79,117,74,20,4,291460
145,Itabela,1,1,0,2,0,1,0,0,0,0,291465
146,Itaberaba,2,6,6,6,17,71,38,6,3,0,291470
147,Itabuna,32,68,84,85,41,126,108,82,22,1,291480
148,Itacaré,0,1,0,0,1,2,1,0,0,0,291490
149,Itagi,0,2,0,0,1,2,0,1,1,0,291510
150,Itagibá,5,7,7,18,16,49,33,30,13,2,291520
151,Itaguaçu da Bahia,4,1,0,1,2,10,7,3,5,1,291535
152,Itajuípe,8,8,16,14,12,42,31,22,7,2,291550
153,Itamaraju,4,3,8,11,14,48,50,39,23,5,291560
154,Itamari,0,0,1,4,0,2,4,0,1,0,291570
155,Itambé,0,0,1,0,1,3,4,2,1,0,291580
156,Itanagra,0,0,0,0,0,0,0,1,0,0,291590
157,Itanhém,1,0,0,0,0,0,0,0,0,0,291600
158,Itaparica,0,0,0,0,0,2,2,0,0,0,291610
159,Itapé,0,0,2,0,1,0,2,0,0,0,291620
160,Itapebi,0,0,1,0,6,10,7,3,0,0,291630
161,Itapetinga,2,5,4,16,17,58,63,33,18,1,291640
162,Itapicuru,0,0,2,1,0,6,2,1,0,0,291650
163,Itapitanga,1,0,0,1,1,0,0,0,0,0,291660
164,Itaquara,0,0,0,0,1,0,0,0,0,0,291670
165,Itarantim,1,0,0,0,1,1,1,0,0,0,291680
166,Itatim,1,0,0,0,0,1,5,2,0,0,291685
167,Itiruçu,0,3,2,3,5,15,10,11,5,6,291690
168,Itiúba,0,0,0,0,0,1,1,0,0,0,291700
169,Itororó,7,5,6,15,9,37,31,11,4,3,291710
170,Ituaçu,0,0,0,0,0,1,2,1,0,0,291720
171,Ituberá,0,0,1,0,1,3,0,1,0,0,291730
172,Iuiú,4,10,19,16,11,36,20,19,4,2,291733
173,Jaborandi,2,6,8,9,14,59,48,22,10,3,291735
174,Jacaraci,0,1,0,1,0,4,4,1,1,0,291740
175,Jacobina,24,45,62,95,101,305,268,163,89,16,291750
176,Jaguaquara,6,6,16,18,28,65,65,48,18,2,291760
177,Jaguarari,0,0,0,0,0,2,1,1,0,0,291770
178,Jandaíra,0,0,1,0,0,1,0,1,1,0,291790
179,Jequié,11,15,13,23,12,87,88,45,28,9,291800
180,Jeremoabo,0,0,0,0,0,2,1,1,0,0,291810
181,Jitaúna,0,0,0,0,0,0,1,0,0,0,291830
182,João Dourado,0,3,5,6,3,9,8,4,3,2,291835
183,Juazeiro,4,1,3,6,6,55,44,21,3,1,291840
184,Jucuruçu,1,0,0,0,0,0,0,0,0,0,291845
185,Jussara,0,8,4,7,13,26,32,23,17,2,291850
186,Jussari,0,0,0,1,0,0,0,2,0,0,291855
187,Lafaiete Coutinho,0,0,0,0,0,0,1,0,0,0,291870
188,Lagoa Real,0,0,0,0,0,2,0,2,0,0,291875
189,Laje,0,0,0,0,0,1,0,0,0,0,291880
190,Lajedinho,0,0,0,0,1,0,0,0,0,0,291900
191,Lajedo do Tabocal,0,0,0,0,0,0,1,2,0,0,291905
192,Lapão,1,0,4,1,3,11,17,4,1,1,291915
193,Lauro de Freitas,7,15,2,5,2,7,12,4,4,1,291920
194,Lençóis,0,0,0,0,1,2,1,1,0,0,291930
195,Livramento de Nossa Senhora,4,0,0,1,2,5,5,0,0,0,291950
196,Luís Eduardo Magalhães,99,169,269,277,373,0,0,403,121,20,291955
197,Macajuba,0,1,0,0,1,0,1,0,0,0,291960
198,Macarani,2,2,1,8,7,16,18,12,12,3,291970
199,Macaúbas,8,14,34,33,47,138,106,100,37,12,291980
200,Madre de Deus,2,1,0,0,0,6,2,2,0,0,291992
201,Maetinga,0,0,0,0,0,0,0,1,0,0,291995
202,Maiquinique,0,0,0,0,1,3,1,1,0,0,292000
203,Mairi,2,0,0,0,0,0,0,0,0,0,292010
204,Malhada,8,8,7,16,21,45,28,24,7,2,292020
205,Malhada de Pedras,0,0,0,1,0,1,1,1,0,0,292030
206,Manoel Vitorino,1,3,1,1,0,1,0,1,1,0,292040
207,Mansidão,5,3,17,16,24,69,53,46,17,6,292045
208,Maracás,0,0,1,0,2,11,11,6,1,0,292050
209,Maragogipe,0,2,1,1,0,0,5,2,0,0,292060
210,Marcionílio Souza,0,0,1,0,0,0,0,0,0,0,292080
211,Mata de São João,0,0,0,0,0,1,1,1,0,0,292100
212,Matina,2,5,16,26,17,51,46,22,10,1,292105
213,Miguel Calmon,6,9,3,9,9,17,16,11,2,0,292120
214,Mirangaba,0,1,1,1,1,4,1,0,1,0,292140
215,Mirante,0,0,1,0,0,1,1,1,1,0,292145
216,Morpará,1,2,0,0,1,3,6,2,1,0,292160
217,Morro do Chapéu,1,2,4,7,7,27,22,9,6,1,292170
218,Mortugaba,0,0,0,0,0,1,0,1,0,0,292180
219,Mucuri,5,22,30,28,20,79,46,15,9,0,292200
220,Mulungu do Morro,1,0,1,0,2,3,0,1,0,0,292205
221,Mundo Novo,0,0,0,0,1,0,0,0,0,0,292210
222,Muquém de São Francisco,3,18,19,32,30,85,91,28,16,3,292225
223,Muritiba,0,0,0,0,1,2,2,2,2,0,292230
224,Mutuípe,0,0,0,0,0,1,0,0,0,0,292240
225,Nordestina,0,0,1,0,3,4,2,0,1,0,292265
226,Nova Canaã,6,20,29,35,53,109,109,109,71,24,292270
227,Nova Fátima,0,0,0,1,0,1,0,0,1,0,292273
228,Nova Ibiá,1,0,0,0,1,0,0,1,0,0,292275
229,Nova Itarana,0,1,0,0,0,0,1,0,0,0,292280
230,Nova Soure,0,0,0,0,0,1,3,1,0,0,292290
231,Nova Viçosa,0,0,1,0,3,5,3,1,0,0,292300
232,Novo Horizonte,0,0,0,0,1,2,6,1,1,0,292303
233,Novo Triunfo,0,0,0,0,0,0,1,0,0,0,292305
234,Oliveira dos Brejinhos,2,4,5,10,12,28,44,10,15,5,292320
235,Ouriçangas,0,0,0,0,0,1,0,0,0,0,292330
236,Ourolândia,10,15,30,20,39,95,88,46,19,3,292335
237,Palmas de Monte Alto,0,1,4,4,6,11,13,6,1,0,292340
238,Palmeiras,0,0,0,0,0,1,0,0,0,0,292350
239,Paramirim,0,0,0,1,0,4,3,0,1,0,292360
240,Paratinga,2,1,9,14,20,41,41,24,8,4,292370
241,Paripiranga,0,0,0,0,0,1,0,0,0,0,292380
242,Pau Brasil,0,1,0,0,0,0,1,1,2,0,292390
243,Paulo Afonso,1,5,2,3,3,15,20,9,6,1,292400
244,Pé de Serra,0,0,0,0,0,2,2,0,0,0,292405
245,Pilão Arcado,0,0,0,1,0,1,1,1,1,0,292440
246,Pindaí,1,3,5,4,5,17,21,14,3,1,292450
247,Pindobaçu,0,0,0,0,0,1,1,0,0,0,292460
248,Pintadas,0,0,0,0,0,1,1,0,0,0,292465
249,Piripá,1,0,0,1,0,4,3,0,1,0,292470
250,Planaltino,1,0,0,0,1,0,0,0,0,0,292490
251,Planalto,0,1,0,0,0,4,1,6,1,0,292500
252,Poções,2,0,1,1,3,13,13,4,3,0,292510
253,Pojuca,7,10,16,20,32,77,90,52,25,4,292520
254,Ponto Novo,0,0,0,0,0,2,1,0,0,0,292525
255,Porto Seguro,2,4,4,7,9,45,23,10,1,0,292530
256,Potiraguá,0,0,1,0,0,4,1,0,0,0,292540
257,Prado,0,0,0,0,1,4,6,2,0,0,292550
258,Presidente Dutra,3,0,2,3,2,12,10,6,5,1,292560
259,Presidente Jânio Quadros,0,0,0,0,1,6,3,1,1,0,292570
260,Presidente Tancredo Neves,0,0,0,1,0,1,0,0,0,0,292575
261,Queimadas,0,0,1,0,0,0,0,0,1,0,292580
262,Quijingue,0,0,1,0,0,3,1,1,0,1,292590
263,Rafael Jambeiro,0,0,0,0,0,0,3,1,0,0,292595
264,Remanso,0,0,0,0,0,0,3,1,0,0,292600
265,Retirolândia,0,0,0,0,0,0,0,0,1,0,292610
266,Riachão das Neves,4,1,8,10,7,29,24,22,11,1,292620
267,Riachão do Jacuípe,2,2,1,0,1,5,4,0,1,0,292630
268,Riacho de Santana,7,9,24,27,31,64,80,64,36,11,292640
269,Ribeira do Pombal,4,3,4,1,2,5,5,1,0,1,292660
270,Ribeirão do Largo,0,0,1,0,0,2,1,0,0,0,292665
271,Rio de Contas,0,1,0,0,0,0,2,0,2,0,292670
272,Rio do Antônio,0,0,0,0,0,0,1,0,0,0,292680
273,Rio do Pires,0,3,7,9,1,24,27,26,14,4,292690
274,Rio Real,2,4,5,0,2,23,6,13,7,1,292700
275,Rodelas,0,0,0,2,0,2,1,0,0,0,292710
276,Ruy Barbosa,1,7,32,28,26,105,103,87,36,9,292720
277,Salvador,35,36,55,42,71,349,278,105,25,11,292740
278,Santa Bárbara,0,0,0,0,0,1,0,1,0,0,292750
279,Santa Brígida,0,0,1,1,2,3,2,1,0,0,292760
280,Santa Cruz Cabrália,1,0,0,0,0,6,3,1,0,0,292770
281,Santa Luzia,2,0,9,9,8,12,8,4,4,0,292805
282,Santa Maria da Vitória,8,14,39,65,84,256,181,61,25,4,292810
283,Santa Rita de Cássia,7,6,20,40,44,155,112,75,26,13,292840
284,Santa Teresinha,1,0,0,0,0,2,0,0,0,0,292850
285,Santaluz,0,2,0,2,0,2,0,1,1,0,292800
286,Santana,4,7,9,18,19,54,51,31,13,5,292820
287,Santanópolis,0,0,0,0,0,1,1,2,1,0,292830
288,Santo Amaro,0,0,0,1,0,0,1,0,0,0,292860
289,Santo Antônio de Jesus,1,2,1,1,0,7,2,5,1,0,292870
290,Santo Estêvão,0,2,2,2,2,20,9,4,1,0,292880
291,São Desidério,0,5,15,24,32,107,131,48,24,4,292890
292,São Felipe,0,0,0,0,0,0,1,0,0,0,292910
293,São Félix,0,0,0,0,0,0,1,0,0,0,292900
294,São Félix do Coribe,1,9,6,14,26,56,53,29,15,4,292905
295,São Francisco do Conde,1,0,1,0,1,3,2,0,0,0,292920
296,São Gabriel,0,0,1,0,1,4,7,1,1,1,292925
297,São Gonçalo dos Campos,2,1,0,0,0,1,2,1,0,0,292930
298,São José da Vitória,0,0,0,0,1,6,2,0,0,0,292935
299,São José do Jacuípe,0,0,1,0,0,0,0,0,0,0,292937
300,São Sebastião do Passé,0,1,0,1,0,7,0,2,1,1,292950
301,Sapeaçu,0,1,0,0,1,5,4,3,2,0,292960
302,Saubara,0,0,0,0,0,0,0,0,2,0,292975
303,Saúde,0,0,0,0,0,0,0,0,1,0,292980
304,Seabra,0,2,2,2,2,10,9,3,1,0,292990
305,Sebastião Laranjeiras,1,1,2,5,2,13,8,8,2,1,293000
306,Senhor do Bonfim,2,1,2,0,1,8,14,2,0,0,293010
307,Sento Sé,0,0,0,0,0,1,0,0,0,1,293020
308,Serra do Ramalho,14,8,11,13,11,51,34,16,15,4,293015
309,Serra Dourada,6,2,7,12,11,32,41,24,7,2,293030
310,Serrinha,1,0,2,0,2,0,1,1,0,0,293050
311,Serrolândia,1,0,0,0,2,3,8,1,0,0,293060
312,Simões Filho,0,3,0,1,6,24,15,5,3,0,293070
313,Sítio do Mato,0,0,1,0,3,11,7,9,3,0,293075
314,Sítio do Quinto,1,0,0,0,0,0,0,0,0,0,293076
315,Sobradinho,0,0,0,0,0,2,0,1,0,0,293077
316,Souto Soares,1,2,2,2,4,12,10,0,1,0,293080
317,Tabocas do Brejo Velho,0,0,0,0,0,0,1,0,0,0,293090
318,Tanhaçu,0,0,0,0,0,0,0,1,0,0,293100
319,Tanquinho,0,0,0,0,0,1,1,2,2,0,293110
320,Taperoá,0,0,2,0,0,1,3,4,0,0,293120
321,Tapiramutá,0,1,0,0,0,0,2,0,0,0,293130
322,Teixeira de Freitas,4,3,10,7,9,59,41,32,6,0,293135
323,Teodoro Sampaio,0,0,0,0,1,1,3,1,0,0,293140
324,Teofilândia,0,0,0,0,0,0,0,1,0,0,293150
325,Teolândia,0,0,0,0,2,6,2,0,0,0,293160
326,Terra Nova,0,1,2,0,2,3,2,1,0,0,293170
327,Tucano,0,0,0,0,1,0,2,2,0,0,293190
328,Uauá,0,0,1,0,0,0,0,0,0,0,293200
329,Ubaíra,0,2,2,8,3,9,2,3,3,0,293210
330,Ubaitaba,2,0,0,1,2,4,4,2,1,0,293220
331,Ubatã,0,0,1,0,0,2,0,0,0,0,293230
332,Uibaí,0,1,0,0,0,1,1,2,0,0,293240
333,Umburanas,7,7,13,15,17,47,34,27,13,5,293245
334,Una,5,25,25,32,55,124,91,33,18,5,293250
335,Urandi,0,0,1,1,2,8,10,1,1,0,293260
336,Uruçuca,1,0,1,1,2,0,4,2,1,0,293270
337,Utinga,0,0,0,0,0,1,1,1,0,0,293280
338,Valença,2,3,2,0,0,5,4,1,1,0,293290
339,Valente,0,1,1,2,2,5,1,0,0,0,293300
340,Várzea da Roça,0,0,0,0,0,1,0,0,0,0,293305
341,Várzea Nova,20,7,19,28,19,106,62,54,26,3,293315
342,Vera Cruz,2,0,0,1,0,9,9,2,0,0,293320
343,Vereda,0,1,0,2,1,4,0,0,2,0,293325
344,Vitória da Conquista,29,25,23,25,34,276,221,95,30,8,293330
345,Wagner,0,1,0,0,0,2,1,3,0,0,293340
346,Wanderley,0,0,0,0,0,0,0,1,0,0,293345
347,Wenceslau Guimarães,0,0,0,0,0,0,1,0,1,0,293350
348,Xique-Xique,4,0,4,7,7,23,30,17,4,1,293360
