,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+,Codigo
174,Itaberaba,50,97,180,191,232,852,803,398,160,29,291470
175,Itabuna,44,92,93,82,65,268,220,118,32,3,291480
176,Itacaré,9,12,24,32,38,141,58,22,9,1,291490
177,Itaeté,8,7,17,26,18,72,55,42,24,12,291500
178,Itagi,0,1,0,1,1,5,2,0,0,0,291510
179,Itagibá,5,6,10,28,34,47,57,17,4,0,291520
180,Itagimirim,1,2,3,5,3,7,5,15,12,2,291530
181,Itaguaçu da Bahia,7,1,0,3,3,10,10,5,4,0,291535
182,Itaju do Colônia,1,0,0,1,1,1,2,2,0,0,291540
183,Itajuípe,5,3,13,9,14,27,22,14,5,0,291550
184,Itamaraju,4,4,8,6,24,60,29,22,2,0,291560
185,Itamari,1,1,1,4,6,6,7,2,0,0,291570
186,Itambé,2,11,25,15,20,27,21,7,6,0,291580
187,Itanagra,0,0,0,0,1,1,0,1,0,0,291590
188,Itanhém,21,18,43,73,59,134,109,76,45,15,291600
189,Itaparica,1,2,2,6,10,28,15,8,3,1,291610
190,Itapé,1,0,2,1,1,5,2,0,0,0,291620
191,Itapebi,0,0,0,3,1,7,2,2,0,0,291630
192,Itapetinga,6,45,58,53,54,83,74,49,14,4,291640
193,Itapicuru,4,13,14,22,24,41,30,26,3,0,291650
194,Itapitanga,0,0,0,0,0,0,1,0,0,0,291660
195,Itaquara,5,3,11,12,7,35,41,27,15,0,291670
196,Itarantim,2,3,5,4,2,6,4,1,2,1,291680
197,Itatim,1,7,3,10,4,20,7,5,2,0,291685
198,Itiruçu,1,2,11,15,20,36,31,28,3,2,291690
199,Itiúba,1,3,5,7,5,19,13,4,3,0,291700
200,Itororó,2,6,4,8,9,16,18,4,2,1,291710
201,Ituaçu,1,2,9,5,6,29,33,20,5,2,291720
202,Ituberá,0,0,0,0,1,6,4,2,0,0,291730
203,Iuiú,0,0,0,0,0,1,1,0,1,0,291733
204,Jaborandi,8,6,14,22,21,113,93,43,17,2,291735
205,Jacaraci,3,15,30,31,49,180,128,105,46,7,291740
206,Jacobina,18,32,75,80,68,217,201,103,24,7,291750
207,Jaguaquara,32,55,121,171,218,537,550,382,196,63,291760
208,Jaguarari,4,11,28,19,17,86,65,22,8,6,291770
209,Jaguaripe,0,0,0,0,0,2,3,0,0,0,291780
210,Jandaíra,1,1,1,1,1,1,1,0,0,0,291790
211,Jequié,55,95,205,264,275,758,696,355,113,26,291800
212,Jeremoabo,4,10,15,7,10,21,12,6,2,1,291810
213,Jiquiriçá,1,0,0,1,2,3,5,2,0,0,291820
