,Codigo,Município,2016,2017,2018,2019,2020,2021
184,291685,Itatim,212,3,1,1,4,2
185,291690,Itiruçu,14,0,0,0,0,7
186,291700,Itiúba,18,2,0,0,1,0
187,291710,Itororó,452,8,0,0,2,4
188,291720,Ituaçu,150,2,0,0,24,0
189,291730,Ituberá,111,0,0,2,0,0
190,291733,Iuiú,54,1,0,0,0,0
191,291735,Jaborandi,0,0,8,2,20,2
192,291740,Jacaraci,6,0,1,2,83,2
193,291750,Jacobina,1640,12,3,17,12,18
194,291760,Jaguaquara,14,5,1,11,72,6
195,291770,Jaguarari,417,13,4,1,0,0
196,291780,Jaguaripe,2,0,0,0,0,0
197,291790,Jandaíra,23,0,0,3,6,1
198,291800,Jequié,386,21,0,23,22,37
199,291810,Jeremoabo,2,0,0,0,0,0
200,291820,Jiquiriçá,2,1,0,0,0,1
201,291830,Jitaúna,4,0,0,0,0,1
202,291835,João Dourado,1,1,0,0,11,0
203,291840,Juazeiro,294,11,8,32,51,7
204,291850,Jussara,2,0,0,0,0,2
205,291855,Jussari,14,2,0,0,0,0
206,291860,Jussiape,16,0,5,2,0,0
207,291870,Lafaiete Coutinho,6,0,0,0,1,0
208,291880,Laje,7,0,0,0,0,0
209,291890,Lajedão,3,0,0,0,0,0
210,291900,Lajedinho,2,0,0,0,0,0
211,291905,Lajedo do Tabocal,1,0,0,0,0,0
212,291910,Lamarão,2,0,0,0,0,0
213,291915,Lapão,8,0,0,75,0,1
214,291920,Lauro de Freitas,61,6,4,14,21,3
215,291930,Lençóis,15,0,0,6,5,0
216,291940,Licínio de Almeida,0,0,0,1,0,0
217,291950,Livramento de Nossa Senhora,3,0,1,5,21,2
218,291955,Luís Eduardo Magalhães,192,17,1,6,1,68
219,291960,Macajuba,7,0,0,0,1,0
220,291970,Macarani,5,0,0,0,0,0
221,291980,Macaúbas,192,12,10,34,6,182
222,291990,Macururé,104,0,0,0,0,0
223,291992,Madre de Deus,4,2,2,8,0,0
224,291995,Maetinga,0,0,0,1,0,0
225,292000,Maiquinique,180,15,0,0,9,1
226,292010,Mairi,795,0,0,1,0,0
227,292020,Malhada,11,3,13,1,1,0
228,292030,Malhada de Pedras,5,2,0,0,2,1
229,292040,Manoel Vitorino,209,2,4,1,8,4
230,292045,Mansidão,0,0,0,0,0,1
231,292050,Maracás,19,2,4,9,9,1
232,292060,Maragogipe,154,0,0,1,1,0
233,292070,Maraú,27,0,0,0,0,0
234,292080,Marcionílio Souza,22,1,1,0,1,0
235,292090,Mascote,278,1,0,2,10,0
236,292100,Mata de São João,12,0,1,11,12,1
237,292105,Matina,457,0,0,0,0,1
238,292110,Medeiros Neto,9,0,0,0,29,0
239,292120,Miguel Calmon,8,0,1,1,7,14
240,292130,Milagres,16,0,0,0,0,1
241,292140,Mirangaba,129,0,0,3,0,0
242,292145,Mirante,0,0,1,0,0,0
243,292150,Monte Santo,93,0,0,1,0,0
244,292160,Morpará,0,0,2,24,1,0
245,292170,Morro do Chapéu,20,1,2,17,10,2
246,292180,Mortugaba,13,0,0,0,0,0
247,292190,Mucugê,6,0,1,0,1,0
248,292200,Mucuri,110,7,1,23,0,1
249,292205,Mulungu do Morro,0,0,0,0,1,2
250,292210,Mundo Novo,94,0,0,0,1,0
251,292220,Muniz Ferreira,5,1,0,0,0,0
252,292225,Muquém de São Francisco,0,0,0,0,0,3
253,292230,Muritiba,24,2,1,11,23,4
254,292240,Mutuípe,10,4,1,6,3,0
255,292250,Nazaré,10,0,0,0,1,0
256,292260,Nilo Peçanha,20,0,0,0,0,0
257,292265,Nordestina,12,0,0,0,0,0
258,292270,Nova Canaã,5,0,0,0,2,37
259,292273,Nova Fátima,0,85,11,17,9,1
260,292275,Nova Ibiá,3,0,0,0,0,0
261,292280,Nova Itarana,154,2,1,0,0,0
262,292285,Nova Redenção,50,0,0,0,0,0
263,292300,Nova Viçosa,84,30,0,4,0,0
264,292303,Novo Horizonte,60,1,0,2,1,0
265,292305,Novo Triunfo,11,0,0,0,0,0
266,292310,Olindina,3,0,0,0,0,0
267,292320,Oliveira dos Brejinhos,4,1,0,1,1,0
268,292330,Ouriçangas,0,0,0,0,4,0
269,292335,Ourolândia,432,1,2,3,1,8
270,292340,Palmas de Monte Alto,17,0,1,0,0,0
271,292350,Palmeiras,57,3,0,4,0,0
272,292360,Paramirim,59,1,93,140,31,0
273,292370,Paratinga,20,1,100,3,20,0
274,292380,Paripiranga,18,0,1,0,0,0
275,292390,Pau Brasil,295,0,0,0,8,0
276,292400,Paulo Afonso,306,3,6,6,40,14
277,292405,Pé de Serra,22,3,340,7,19,0
278,292410,Pedrão,0,0,1,0,45,0
279,292430,Piatã,2,0,0,1,0,0
280,292440,Pilão Arcado,3,0,0,0,0,0
281,292450,Pindaí,56,0,0,0,0,6
282,292460,Pindobaçu,64,2,0,0,2,0
283,292465,Pintadas,37,0,0,7,0,0
284,292467,Piraí do Norte,1,0,0,0,0,0
285,292470,Piripá,83,0,0,0,43,0
286,292480,Piritiba,512,0,0,2,0,1
287,292490,Planaltino,10,0,1,0,0,0
288,292500,Planalto,0,0,0,0,1,0
289,292510,Poções,16,1,1,0,3,6
290,292520,Pojuca,27,1,1,1,13,0
291,292525,Ponto Novo,140,1,0,15,1,0
292,292530,Porto Seguro,628,227,20,36,34,1
293,292540,Potiraguá,108,0,0,0,0,0
294,292550,Prado,54,3,1,2,0,1
295,292560,Presidente Dutra,93,2,0,1,3,4
296,292570,Presidente Jânio Quadros,2,1,0,4,7,0
297,292575,Presidente Tancredo Neves,831,3,3,8,6,2
298,292580,Queimadas,59,0,1,0,0,0
299,292590,Quijingue,182,1,0,1,3,0
300,292593,Quixabeira,9,0,0,0,0,0
301,292595,Rafael Jambeiro,23,2,0,7,2,0
302,292600,Remanso,362,8,18,12,1,1
303,292610,Retirolândia,274,5,0,0,0,0
304,292620,Riachão das Neves,0,1,1,0,0,0
305,292630,Riachão do Jacuípe,91,243,53,130,176,3
306,292640,Riacho de Santana,34,0,7,0,1,0
307,292650,Ribeira do Amparo,46,1,0,0,0,0
308,292660,Ribeira do Pombal,155,22,23,1,4,0
309,292665,Ribeirão do Largo,4,0,0,0,0,0
310,292670,Rio de Contas,0,0,0,0,0,1
311,292690,Rio do Pires,43,0,0,0,111,88
312,292700,Rio Real,39,4,2,319,132,23
313,292710,Rodelas,2,0,1,1,0,0
314,292720,Ruy Barbosa,70,0,0,5,0,0
315,292730,Salinas da Margarida,2,0,0,0,0,0
316,292740,Salvador,929,359,142,925,1446,112
317,292750,Santa Bárbara,11,32,2,95,13,0
318,292770,Santa Cruz Cabrália,47,4,3,0,11,3
319,292780,Santa Cruz da Vitória,7,0,0,0,0,0
320,292790,Santa Inês,473,1,0,0,0,0
321,292805,Santa Luzia,208,8,1,1,2,0
322,292810,Santa Maria da Vitória,1,0,1,0,0,1
323,292840,Santa Rita de Cássia,5,0,0,0,0,0
324,292850,Santa Teresinha,13,0,0,0,11,0
325,292800,Santaluz,242,5,2,1,2,0
326,292830,Santanópolis,0,0,0,14,1,0
327,292860,Santo Amaro,4,0,0,9,1,0
328,292870,Santo Antônio de Jesus,450,5,0,7,10,0
329,292880,Santo Estêvão,1,0,5,32,8,5
330,292890,São Desidério,6,0,2,8,95,249
331,292895,São Domingos,66,5,0,0,1,1
332,292910,São Felipe,23,0,8,0,0,2
333,292900,São Félix,4,0,0,0,1,0
334,292905,São Félix do Coribe,0,1,1,0,0,1
335,292920,São Francisco do Conde,190,2,1,43,4,0
336,292925,São Gabriel,2,0,0,0,0,3
337,292930,São Gonçalo dos Campos,14,1,0,1,0,0
338,292935,São José da Vitória,62,3,0,0,0,1
339,292937,São José do Jacuípe,9,0,0,1,0,0
340,292940,São Miguel das Matas,11,0,0,0,0,0
341,292950,São Sebastião do Passé,62,0,1,12,0,0
342,292960,Sapeaçu,19,0,0,0,0,0
343,292970,Sátiro Dias,6,0,0,0,0,1
344,292975,Saubara,0,0,0,0,0,1
345,292980,Saúde,4,16,0,0,1,0
346,292990,Seabra,630,2,0,29,234,9
347,293000,Sebastião Laranjeiras,171,0,0,4,2,1
348,293010,Senhor do Bonfim,1808,9,2,5,23,1
