,Municipio,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
126,Miguel Calmon,0,0,2,0,1,0,1,1,1,0,0,1
127,Morpará,0,0,0,0,0,1,0,0,0,0,0,0
128,Morro do Chapéu,1,0,1,5,2,0,1,0,0,0,0,0
129,Mucugê,0,0,0,0,0,1,0,0,0,0,0,0
130,Mulungu do Morro,0,0,0,0,0,1,0,0,0,0,0,0
131,Mundo Novo,0,0,0,0,0,0,0,0,1,0,0,0
132,Muritiba,0,0,0,1,1,2,5,2,5,0,4,3
133,Mutuípe,0,0,0,0,2,1,0,0,0,0,0,0
134,Nazaré,0,0,0,0,0,0,0,1,0,0,0,0
135,Nova Canaã,0,0,0,0,0,1,0,0,0,0,0,1
136,Nova Fátima,1,5,2,0,0,1,0,0,0,0,0,0
137,Novo Horizonte,1,0,0,0,0,0,0,0,0,0,0,0
138,Oliveira dos Brejinhos,0,0,0,0,0,0,1,0,0,0,0,0
139,Ouriçangas,0,0,1,1,0,0,2,0,0,0,0,0
140,Ourolândia,0,0,0,1,0,0,0,0,0,0,0,0
141,Paramirim,3,1,4,2,10,5,2,0,2,1,1,0
142,Paratinga,0,0,0,1,14,5,0,0,0,0,0,0
143,Pau Brasil,0,5,0,1,1,1,0,0,0,0,0,0
144,Paulo Afonso,0,0,0,3,1,19,12,4,1,0,0,0
145,Pé de Serra,1,0,2,0,4,6,5,0,1,0,0,0
146,Pedrão,0,0,0,12,33,0,0,0,0,0,0,0
147,Pindobaçu,0,0,0,0,1,0,1,0,0,0,0,0
148,Piripá,0,0,0,17,19,5,2,0,0,0,0,0
149,Planalto,0,1,0,0,0,0,0,0,0,0,0,0
150,Poções,0,1,0,2,0,0,0,0,0,0,0,0
151,Pojuca,0,0,0,0,1,8,2,1,0,1,0,0
152,Ponto Novo,0,0,0,0,1,0,0,0,0,0,0,0
153,Porto Seguro,1,4,3,1,8,5,3,2,1,3,3,0
154,Presidente Dutra,0,0,0,0,1,0,0,0,2,0,0,0
155,Presidente Jânio Quadros,0,0,0,1,3,2,0,1,0,0,0,0
156,Presidente Tancredo Neves,1,0,0,1,3,0,1,0,0,0,0,0
157,Quijingue,0,0,0,0,1,0,2,0,0,0,0,0
158,Rafael Jambeiro,0,0,0,0,0,1,0,0,0,1,0,0
159,Remanso,0,0,0,0,0,0,0,1,0,0,0,0
160,Riachão do Jacuípe,1,1,1,33,67,52,7,6,3,0,5,0
161,Riacho de Santana,0,0,0,0,0,0,0,0,0,1,0,0
162,Ribeira do Pombal,0,0,0,2,1,0,0,0,0,0,1,0
163,Rio do Pires,0,0,0,0,0,0,19,20,3,17,23,29
164,Rio Real,9,4,8,0,0,5,16,7,21,39,15,8
165,Salvador,85,139,162,236,242,273,152,63,31,21,17,25
166,Santa Bárbara,0,0,0,4,5,3,1,0,0,0,0,0
167,Santa Cruz Cabrália,0,1,1,0,3,3,2,1,0,0,0,0
168,Santa Luzia,0,0,0,0,0,2,0,0,0,0,0,0
169,Santa Teresinha,0,0,0,0,0,4,7,0,0,0,0,0
170,Santaluz,0,0,0,1,0,0,1,0,0,0,0,0
171,Santanópolis,0,0,0,1,0,0,0,0,0,0,0,0
172,Santo Amaro,0,0,1,0,0,0,0,0,0,0,0,0
173,Santo Antônio de Jesus,0,0,1,1,2,1,3,0,1,0,1,0
174,Santo Estêvão,1,0,1,1,1,0,0,0,2,2,0,0
175,São Desidério,1,0,1,2,8,25,27,17,2,4,5,3
176,São Domingos,0,0,0,0,0,0,0,1,0,0,0,0
177,São Félix,0,0,0,0,0,0,0,0,0,1,0,0
178,São Francisco do Conde,2,1,0,0,0,0,1,0,0,0,0,0
179,Saúde,0,0,0,0,0,0,1,0,0,0,0,0
180,Seabra,0,0,2,79,67,47,33,1,1,0,4,0
181,Sebastião Laranjeiras,0,0,0,0,1,0,1,0,0,0,0,0
182,Senhor do Bonfim,0,1,4,5,8,1,2,0,2,0,0,0
183,Serrolândia,0,0,0,1,2,7,2,3,1,0,0,0
184,Simões Filho,3,9,32,44,53,8,6,3,2,3,1,0
185,Sobradinho,0,0,0,1,2,1,0,0,0,0,0,0
186,Tanquinho,0,0,0,0,1,0,0,9,11,6,1,0
187,Taperoá,2,0,0,0,0,0,0,0,0,0,0,0
188,Teixeira de Freitas,0,1,4,4,14,14,11,2,1,2,3,0
189,Teodoro Sampaio,0,0,0,0,0,1,0,0,0,0,0,0
190,Teolândia,0,0,0,1,0,0,0,0,0,0,0,0
191,Tremedal,0,0,0,22,11,0,0,1,0,0,0,0
192,Tucano,0,0,0,3,3,14,5,1,0,0,0,0
193,Ubaíra,6,0,5,3,2,2,0,1,0,0,0,0
194,Ubatã,0,0,0,1,0,0,0,0,1,0,0,0
195,Uibaí,0,0,0,0,0,0,1,0,0,0,0,0
196,Una,0,0,1,0,0,0,0,1,0,0,0,0
197,Urandi,0,0,0,0,1,0,0,0,1,0,0,0
198,Utinga,0,0,0,0,1,0,0,0,0,0,0,0
199,Valença,2,4,5,4,6,2,2,4,4,2,1,0
200,Valente,0,1,0,7,1,0,0,0,0,1,0,0
201,Vera Cruz,7,10,10,15,18,7,2,0,1,0,0,0
202,Vitória da Conquista,7,6,121,352,297,124,69,15,18,18,9,1
203,Wagner,0,0,0,0,0,0,1,0,0,0,0,0
204,Wenceslau Guimarães,0,0,0,0,0,0,0,1,0,0,0,0
