,Codigo,Município,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
125,292170,Morro do Chapéu,0,0,0,0,1,0,0,0,0,0,0
126,292200,Mucuri,0,1,0,0,0,0,0,0,0,1,0
127,292205,Mulungu do Morro,0,0,0,0,0,0,0,0,1,0,0
128,292230,Muritiba,0,1,0,1,0,0,0,0,1,0,0
129,292265,Nordestina,0,1,0,0,0,0,0,0,0,0,0
130,292273,Nova Fátima,0,0,0,0,0,0,0,0,1,1,0
131,292300,Nova Viçosa,0,0,0,0,0,0,0,1,0,0,0
132,292310,Olindina,0,0,0,1,0,0,0,0,0,0,0
133,292320,Oliveira dos Brejinhos,0,0,0,0,0,1,0,0,0,0,0
134,292335,Ourolândia,0,1,0,0,0,0,0,0,0,0,0
135,292380,Paripiranga,0,0,0,0,0,1,0,0,0,0,0
136,292400,Paulo Afonso,0,0,0,0,0,0,0,0,3,0,0
137,292405,Pé de Serra,1,0,0,0,0,0,0,0,0,0,0
138,292440,Pilão Arcado,0,0,0,0,0,0,0,1,0,0,0
139,292450,Pindaí,0,0,0,0,0,0,0,0,1,0,0
140,292460,Pindobaçu,0,0,0,1,0,0,0,0,0,0,1
141,292490,Planaltino,0,0,0,0,0,0,0,0,1,0,0
142,292530,Porto Seguro,8,8,5,1,0,1,0,1,1,1,2
143,292560,Presidente Dutra,0,0,0,0,0,0,0,0,1,0,0
144,292570,Presidente Jânio Quadros,0,0,0,1,0,0,0,0,0,0,0
145,292580,Queimadas,0,0,0,0,0,0,0,0,0,1,0
146,292595,Rafael Jambeiro,0,0,0,0,0,0,0,0,2,0,0
147,292600,Remanso,1,0,0,0,0,1,0,0,1,1,0
148,292620,Riachão das Neves,1,0,1,0,0,0,0,0,0,0,0
149,292630,Riachão do Jacuípe,0,0,0,0,1,0,0,0,0,0,0
150,292640,Riacho de Santana,1,0,0,0,0,0,0,0,0,0,2
151,292660,Ribeira do Pombal,0,0,1,0,0,0,0,0,0,0,0
152,292700,Rio Real,0,0,1,1,0,0,0,0,0,0,0
153,292720,Ruy Barbosa,0,0,0,0,0,1,0,0,0,0,1
154,292730,Salinas da Margarida,0,0,0,0,0,0,0,0,0,2,0
155,292740,Salvador,10,12,9,18,11,6,3,6,15,21,15
156,292750,Santa Bárbara,0,0,0,0,0,0,1,0,0,0,0
157,292770,Santa Cruz Cabrália,0,0,0,0,0,0,0,0,1,0,0
158,292810,Santa Maria da Vitória,2,0,0,0,0,0,0,1,0,1,0
159,292800,Santaluz,1,0,0,0,0,0,0,0,0,0,0
160,292820,Santana,0,0,0,0,0,0,0,1,0,0,0
161,292830,Santanópolis,0,0,0,0,0,0,0,0,0,4,0
162,292860,Santo Amaro,1,0,0,0,0,0,0,0,1,0,0
163,292870,Santo Antônio de Jesus,0,0,2,1,0,1,0,0,2,0,0
164,292880,Santo Estêvão,0,0,0,0,0,0,0,0,2,1,0
165,292920,São Francisco do Conde,0,0,0,0,1,0,0,0,0,0,0
166,292925,São Gabriel,0,0,0,0,1,0,0,0,0,0,0
167,292930,São Gonçalo dos Campos,0,0,0,0,0,0,0,0,0,1,0
168,292950,São Sebastião do Passé,0,0,0,0,1,0,0,0,0,0,0
169,292960,Sapeaçu,0,0,0,1,0,0,0,0,0,0,0
170,292975,Saubara,0,0,0,0,0,0,0,0,1,0,0
171,292990,Seabra,0,0,1,0,0,0,0,0,0,0,1
172,293020,Sento Sé,0,0,0,0,0,0,0,0,0,0,1
173,293050,Serrinha,1,1,0,0,0,0,0,0,1,0,0
174,293070,Simões Filho,0,0,0,0,1,1,1,1,2,1,1
175,293076,Sítio do Quinto,0,1,0,0,0,0,0,0,0,0,0
176,293080,Souto Soares,0,0,0,0,1,0,0,0,0,0,0
177,293100,Tanhaçu,0,0,0,0,0,0,0,0,1,0,0
178,293105,Tanque Novo,1,0,0,0,0,0,0,0,0,0,0
179,293110,Tanquinho,0,0,0,1,0,0,0,0,0,0,0
180,293135,Teixeira de Freitas,0,1,2,0,0,2,1,4,0,1,0
181,293170,Terra Nova,0,0,0,0,0,0,0,0,1,0,0
182,293190,Tucano,0,1,0,0,0,0,0,0,0,0,0
183,293200,Uauá,0,1,0,0,0,0,0,0,0,1,0
184,293230,Ubatã,0,1,1,0,0,0,0,0,0,0,0
185,293240,Uibaí,0,0,0,0,0,0,0,0,0,1,0
186,293245,Umburanas,0,0,0,0,0,1,0,0,0,0,0
187,293250,Una,0,0,0,0,0,2,0,0,0,0,1
188,293270,Uruçuca,0,0,1,0,0,0,0,0,0,0,1
189,293300,Valente,0,0,0,0,1,0,2,0,0,0,0
190,293320,Vera Cruz,1,1,0,0,0,0,0,0,0,0,0
191,293325,Vereda,0,1,0,0,0,0,0,0,0,0,0
192,293330,Vitória da Conquista,1,1,0,1,0,0,0,0,0,5,1
193,293340,Wagner,0,0,0,0,0,0,0,0,2,0,0
194,293345,Wanderley,1,0,0,0,0,0,0,0,0,0,0
195,293360,Xique-Xique,0,0,0,0,0,0,0,0,0,0,1
