,Codigo,Município,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
192,291630,Itapebi,22,8,376,24,38,73,110,6,6,15,27
193,291640,Itapetinga,78,299,1095,13,239,1933,26,2,6,441,217
194,291650,Itapicuru,32,55,4,9,2,1,2,1,33,177,12
195,291660,Itapitanga,24,7,56,1,1,169,4,1,2,1,3
196,291670,Itaquara,40,13,31,1,-,-,-,-,-,156,1
197,291680,Itarantim,1,4,33,2,20,-,12,-,-,30,4
198,291685,Itatim,44,39,125,12,46,8,-,-,6,59,9
199,291690,Itiruçu,16,4,516,12,16,13,-,-,25,149,60
200,291700,Itiúba,19,23,26,9,204,21,10,11,197,60,2
201,291710,Itororó,12,7,261,2,15,752,6,2,12,70,128
202,291720,Ituaçu,4,42,14,171,17,91,194,3,-,112,4
203,291730,Ituberá,2,57,48,3,1,65,16,5,401,13,6
204,291733,Iuiú,4,29,167,1,103,54,1,5,17,3,141
205,291735,Jaborandi,28,18,46,10,37,22,5,45,23,339,181
206,291740,Jacaraci,-,3,67,2,26,10,5,2,240,594,12
207,291750,Jacobina,262,1656,656,98,938,872,125,32,904,825,1168
208,291760,Jaguaquara,153,18,311,6,21,53,10,16,38,2326,272
209,291770,Jaguarari,38,296,25,41,32,342,6,5,35,266,4
210,291780,Jaguaripe,1,2,11,20,22,-,-,-,9,5,-
211,291790,Jandaíra,7,22,6,7,11,24,1,2,13,7,4
212,291800,Jequié,1214,1590,2918,337,2133,567,119,30,618,2842,332
213,291810,Jeremoabo,283,241,19,4,1507,445,1,2,29,88,4
214,291820,Jiquiriçá,3,5,-,7,8,7,-,1,2,14,-
215,291830,Jitaúna,78,126,105,3,33,30,-,-,2,13,1
216,291835,João Dourado,279,37,423,1,2,14,1,-,125,50,43
217,291840,Juazeiro,1063,406,218,758,582,903,89,122,394,2051,145
218,291845,Jucuruçu,1,8,23,4,3,1,-,-,2,-,1
219,291850,Jussara,633,62,50,8,11,21,2,1,123,53,132
220,291855,Jussari,38,60,67,15,88,118,6,-,11,26,3
221,291860,Jussiape,1,-,1,1,6,5,-,-,-,66,-
222,291870,Lafaiete Coutinho,21,60,47,3,15,3,-,-,2,106,1
223,291875,Lagoa Real,42,152,184,4,29,22,-,-,30,149,4
224,291880,Laje,-,9,16,3,9,7,2,-,42,120,1
225,291890,Lajedão,4,159,193,20,12,16,8,-,1,4,-
226,291900,Lajedinho,143,60,29,5,14,-,-,1,7,9,1
227,291905,Lajedo do Tabocal,30,-,334,-,-,19,31,16,4,34,3
228,291910,Lamarão,6,56,28,7,78,10,5,14,116,225,-
229,291915,Lapão,165,46,551,9,25,27,1,1,268,271,43
230,291920,Lauro de Freitas,524,678,88,243,613,58,57,54,466,583,59
231,291930,Lençóis,160,6,2,1,14,33,-,8,94,161,5
232,291940,Licínio de Almeida,2,122,99,-,-,3,-,-,31,82,-
233,291950,Livramento de Nossa Senhora,11,41,335,21,8,36,-,158,274,447,17
234,291955,Luís Eduardo Magalhães,410,405,1062,208,2803,677,130,65,2230,230,4329
235,291960,Macajuba,5,158,11,2,18,5,3,-,19,151,3
236,291970,Macarani,8,14,145,5,1,171,-,-,-,151,81
237,291980,Macaúbas,40,33,502,110,699,166,28,93,673,261,533
238,291990,Macururé,9,12,1,-,377,63,1,-,2,-,-
239,291992,Madre de Deus,96,35,-,11,53,2,3,17,253,48,13
240,291995,Maetinga,8,7,32,-,-,3,1,1,-,7,1
241,292000,Maiquinique,-,109,107,2,62,21,5,-,6,93,6
242,292010,Mairi,67,425,114,58,563,216,24,15,37,39,2
243,292020,Malhada,1,-,44,-,-,7,1,66,31,16,166
244,292030,Malhada de Pedras,44,155,179,-,8,13,1,-,17,54,4
245,292040,Manoel Vitorino,324,315,374,5,13,132,10,10,17,337,9
246,292045,Mansidão,99,13,45,-,-,7,-,-,-,-,256
247,292050,Maracás,128,29,96,25,111,57,9,47,255,239,32
248,292060,Maragogipe,41,12,74,30,99,13,1,-,21,252,11
249,292070,Maraú,4,2,15,5,7,51,4,-,18,144,-
250,292080,Marcionílio Souza,64,38,38,1,4,184,3,2,38,473,1
251,292090,Mascote,19,14,15,3,24,547,-,-,2,41,-
252,292100,Mata de São João,42,99,51,31,32,20,5,5,115,107,3
253,292105,Matina,4,168,117,17,2,74,-,19,60,-,196
254,292110,Medeiros Neto,25,24,462,54,40,66,73,13,53,306,-
255,292120,Miguel Calmon,202,649,72,28,88,122,6,42,90,98,82
256,292130,Milagres,17,17,134,5,241,22,1,-,12,109,-
257,292140,Mirangaba,21,74,20,4,13,51,-,2,158,61,10
258,292145,Mirante,47,56,43,61,10,10,1,-,9,90,5
259,292150,Monte Santo,43,317,64,64,224,37,1,-,342,7,-
260,292160,Morpará,48,-,35,41,-,-,-,34,13,204,16
261,292170,Morro do Chapéu,195,435,614,89,101,202,13,6,555,277,86
262,292180,Mortugaba,1,1,14,-,-,2,-,-,209,14,2
263,292190,Mucugê,1,1,3,1,-,4,1,-,18,-,-
264,292200,Mucuri,59,289,1740,193,154,507,166,54,611,175,254
265,292205,Mulungu do Morro,226,23,578,33,44,35,1,1,139,114,8
266,292210,Mundo Novo,25,108,20,34,52,61,62,1,4,20,1
267,292220,Muniz Ferreira,1,7,4,62,27,4,-,-,6,5,-
268,292225,Muquém de São Francisco,10,8,30,11,1,-,-,-,6,-,325
269,292230,Muritiba,42,135,392,165,149,69,20,5,199,82,9
270,292240,Mutuípe,8,1,46,16,20,12,-,1,8,37,1
271,292250,Nazaré,17,97,72,8,15,49,-,-,8,14,-
272,292260,Nilo Peçanha,48,59,25,6,18,24,-,1,17,97,-
273,292265,Nordestina,9,19,15,203,20,40,2,2,74,24,11
274,292270,Nova Canaã,3,-,37,-,1,9,2,1,3,302,565
275,292273,Nova Fátima,41,157,82,-,1,-,5,-,195,224,3
276,292275,Nova Ibiá,1,12,49,37,7,15,-,-,-,107,3
277,292280,Nova Itarana,3,-,7,-,2,30,-,2,4,101,2
278,292285,Nova Redenção,25,275,41,3,22,62,1,-,44,227,-
279,292290,Nova Soure,128,127,13,4,184,-,-,-,25,127,5
280,292300,Nova Viçosa,60,185,826,53,32,601,385,9,152,157,13
281,292303,Novo Horizonte,178,23,57,5,1,21,6,1,37,13,11
282,292305,Novo Triunfo,28,26,3,1,61,29,-,-,5,9,1
283,292310,Olindina,21,11,-,6,122,3,1,-,116,48,-
284,292320,Oliveira dos Brejinhos,6,14,176,-,3,34,5,268,51,180,135
285,292330,Ouriçangas,1,1,3,1,5,-,-,-,4,151,1
286,292335,Ourolândia,142,511,135,79,142,215,4,2,117,209,365
287,292340,Palmas de Monte Alto,4,4,112,1,8,10,1,4,112,69,46
288,292350,Palmeiras,36,1,87,30,2,6,3,3,161,177,1
289,292360,Paramirim,218,8,580,2,60,173,7,523,641,102,9
290,292370,Paratinga,11,4,154,4,260,51,10,389,25,545,164
291,292380,Paripiranga,39,201,61,11,206,954,3,31,308,60,1
292,292390,Pau Brasil,2,20,147,-,148,656,15,4,5,6,5
293,292400,Paulo Afonso,206,438,180,44,599,744,8,4,205,1809,65
294,292405,Pé de Serra,25,36,30,80,153,18,2,30,157,274,4
295,292410,Pedrão,-,3,-,1,1,-,-,-,76,48,-
296,292420,Pedro Alexandre,45,43,6,1,8,4,1,-,66,1,-
297,292430,Piatã,-,17,1,-,-,2,1,-,5,1,-
298,292440,Pilão Arcado,96,5,27,1,13,21,4,175,8,3,5
299,292450,Pindaí,1,3,95,-,40,115,1,-,107,6,74
300,292460,Pindobaçu,40,39,47,61,67,10,19,5,42,54,2
301,292465,Pintadas,63,301,13,146,288,33,3,-,148,10,2
302,292467,Piraí do Norte,3,1,2,-,3,5,-,-,32,12,-
303,292470,Piripá,5,402,195,7,15,134,1,1,-,269,10
304,292480,Piritiba,54,247,145,116,26,178,19,1,65,75,-
305,292490,Planaltino,113,5,80,3,26,12,-,-,4,6,2
306,292500,Planalto,16,5,412,1,9,476,-,-,1,119,13
307,292510,Poções,19,386,156,12,19,73,3,3,1,72,40
308,292520,Pojuca,41,50,17,30,39,6,5,2,103,408,333
309,292525,Ponto Novo,26,104,27,21,104,76,1,1,177,43,3
310,292530,Porto Seguro,2276,200,1305,211,440,816,1135,91,347,603,105
311,292540,Potiraguá,12,43,8,-,1,2,-,-,-,4,6
312,292550,Prado,64,8,250,4,16,53,21,7,38,83,13
313,292560,Presidente Dutra,165,7,190,14,28,121,14,8,321,809,44
314,292570,Presidente Jânio Quadros,31,21,326,5,14,15,-,2,22,42,12
315,292575,Presidente Tancredo Neves,19,2,2,11,27,16,2,4,176,45,2
316,292580,Queimadas,32,39,4,3,30,48,2,1,26,16,2
317,292590,Quijingue,39,47,118,45,64,22,1,7,348,144,7
318,292593,Quixabeira,42,244,27,1,197,44,3,4,93,177,-
319,292595,Rafael Jambeiro,203,47,168,12,26,7,-,1,263,71,4
320,292600,Remanso,322,50,658,153,131,132,33,238,189,53,4
321,292610,Retirolândia,47,116,18,6,99,34,3,-,16,51,1
322,292620,Riachão das Neves,127,17,298,52,31,7,17,8,74,88,117
323,292630,Riachão do Jacuípe,546,736,75,70,134,26,40,46,771,190,16
324,292640,Riacho de Santana,205,320,173,15,18,28,2,156,473,94,353
325,292650,Ribeira do Amparo,53,25,-,-,72,123,-,2,2,1,-
326,292660,Ribeira do Pombal,350,280,55,26,49,21,32,69,12,421,26
327,292665,Ribeirão do Largo,3,3,8,-,-,9,-,1,4,76,4
328,292670,Rio de Contas,1,-,150,3,30,58,-,44,17,22,5
329,292680,Rio do Antônio,12,204,254,3,2,7,1,1,-,187,1
330,292690,Rio do Pires,18,8,27,-,7,31,13,7,16,129,115
331,292700,Rio Real,115,466,58,105,207,47,10,5,552,439,63
332,292710,Rodelas,-,3,-,-,23,8,4,-,14,8,5
333,292720,Ruy Barbosa,60,294,32,48,343,42,8,-,36,50,434
334,292730,Salinas da Margarida,2,10,5,1,1,-,-,-,3,4,-
335,292740,Salvador,8824,8632,2747,7823,8489,4251,2886,1896,10847,12122,1015
336,292750,Santa Bárbara,26,157,15,8,343,5,13,4,466,75,2
337,292760,Santa Brígida,9,21,6,-,184,596,1,1,1,8,10
338,292770,Santa Cruz Cabrália,190,19,55,2,72,163,309,72,122,178,11
339,292780,Santa Cruz da Vitória,32,19,432,-,26,110,4,-,4,-,-
340,292790,Santa Inês,5,17,33,-,3,14,-,-,1,13,-
341,292805,Santa Luzia,12,49,43,-,23,184,4,-,2,62,56
342,292810,Santa Maria da Vitória,93,8,407,13,101,54,74,294,530,367,737
343,292840,Santa Rita de Cássia,305,12,220,8,12,14,52,5,15,306,500
344,292850,Santa Teresinha,74,15,175,7,45,7,-,-,33,107,3
345,292800,Santaluz,96,620,290,44,577,130,49,4,39,424,8
346,292820,Santana,43,10,347,7,100,60,-,2,56,24,211
347,292830,Santanópolis,39,33,4,-,1,1,-,-,215,94,5
348,292860,Santo Amaro,44,86,21,9,54,15,2,4,192,106,2
349,292870,Santo Antônio de Jesus,49,191,419,79,262,280,21,16,559,922,20
350,292880,Santo Estêvão,80,79,205,10,135,7,14,34,1821,371,42
351,292890,São Desidério,132,80,138,73,64,34,51,62,153,117,390
352,292895,São Domingos,32,207,27,6,244,24,2,5,30,228,-
353,292910,São Felipe,17,19,13,32,36,24,-,-,11,4,1
354,292900,São Félix,4,9,18,11,31,5,-,-,80,113,1
355,292905,São Félix do Coribe,102,18,155,9,61,36,21,106,29,130,213
356,292920,São Francisco do Conde,275,502,68,59,465,44,23,5,174,43,8
357,292925,São Gabriel,1252,14,104,5,34,18,6,4,167,109,16
358,292930,São Gonçalo dos Campos,34,52,76,67,47,9,1,6,773,164,7
359,292935,São José da Vitória,19,194,27,22,187,411,6,7,1,39,9
360,292937,São José do Jacuípe,11,86,10,3,139,7,-,-,2,134,1
361,292940,São Miguel das Matas,-,4,6,1,10,3,-,1,5,22,-
362,292950,São Sebastião do Passé,126,89,67,96,264,19,11,6,431,98,13
363,292960,Sapeaçu,38,38,184,34,280,37,1,-,41,16,16
364,292970,Sátiro Dias,4,1,7,4,27,31,-,-,108,27,-
365,292975,Saubara,1,2,-,1,3,1,-,1,5,7,2
366,292980,Saúde,34,181,59,12,51,95,2,-,22,8,1
367,292990,Seabra,65,10,900,104,53,352,2,1,616,1291,31
368,293000,Sebastião Laranjeiras,102,21,23,7,86,136,-,44,216,223,43
369,293010,Senhor do Bonfim,99,2068,571,146,272,624,39,14,319,613,30
370,293020,Sento Sé,113,199,111,75,119,118,4,1,42,10,2
371,293015,Serra do Ramalho,3,10,57,1,56,102,-,37,50,13,177
372,293030,Serra Dourada,44,29,152,5,32,28,1,25,164,22,144
373,293040,Serra Preta,29,25,6,-,9,2,2,4,33,105,-
374,293050,Serrinha,283,2093,962,267,2227,945,112,20,993,1567,7
375,293060,Serrolândia,40,641,94,44,243,181,31,16,627,239,12
376,293070,Simões Filho,161,389,243,151,2599,423,448,11,343,1080,57
377,293075,Sítio do Mato,7,7,7,-,82,4,1,324,19,169,34
378,293076,Sítio do Quinto,32,269,51,10,131,29,1,5,9,25,1
379,293077,Sobradinho,34,4,3,22,14,28,3,3,11,628,5
380,293080,Souto Soares,146,12,180,2,121,28,1,7,256,297,34
381,293090,Tabocas do Brejo Velho,13,4,9,1,7,3,-,18,3,2,1
382,293100,Tanhaçu,7,36,34,38,2,1,1,130,83,429,1
383,293105,Tanque Novo,25,38,664,13,117,45,7,3,126,3,-
384,293110,Tanquinho,173,222,60,1,122,11,26,9,212,208,6
385,293120,Taperoá,9,76,5,6,209,17,1,20,174,89,10
386,293130,Tapiramutá,123,133,123,29,31,92,610,9,25,15,3
387,293135,Teixeira de Freitas,266,1194,3441,491,499,1618,562,614,634,973,171
388,293140,Teodoro Sampaio,7,103,12,22,8,1,-,-,26,56,6
389,293150,Teofilândia,26,100,15,26,188,22,2,1,122,127,1
390,293160,Teolândia,3,3,3,7,23,9,4,3,21,7,10
391,293170,Terra Nova,19,63,41,13,43,3,1,-,554,30,11
392,293180,Tremedal,115,126,76,4,58,242,12,-,3,51,-
393,293190,Tucano,191,424,67,47,169,43,7,2,163,409,5
394,293200,Uauá,6,25,12,36,12,153,6,5,10,153,1
395,293210,Ubaíra,4,2,11,6,23,6,-,-,121,266,32
396,293220,Ubaitaba,14,6,80,6,54,25,3,3,5,81,16
397,293230,Ubatã,14,111,108,16,10,223,3,-,2,110,3
398,293240,Uibaí,208,32,197,35,116,18,16,2,208,559,5
399,293245,Umburanas,19,121,25,17,20,109,-,1,112,110,185
400,293250,Una,107,86,850,27,497,734,68,3,22,72,413
